form_name,field_name,label,help_text
DrainageNetworkFilterForm,group_2,group_2,
DrainageNetworkFilterForm,detail_11,Gräben,
DrainageNetworkFilterForm,detail_4,"Kanäle, unbeschattet",
DrainageNetworkFilterForm,detail_3,"Kanäle, beschattet",
DrainageNetworkFilterForm,group_5,group_5,
DrainageNetworkFilterForm,detail_9,"Flüsse und Ströme, naturnah, flachuferig mit Ufervegetation",
DrainageNetworkFilterForm,group_1,group_1,
DrainageNetworkFilterForm,detail_12,"Naturnahe, unbeschattete Bäche und kleine Flüsse",
DrainageNetworkFilterForm,detail_8,"Naturnahe, beschattete Bäche und kleine Flüsse",
DrainageNetworkFilterForm,group_3,group_3,
DrainageNetworkFilterForm,detail_7,"Begradigte, weitgehend naturferne Bäche und kleine Flüsse ohne Verbauung; beschattet",
DrainageNetworkFilterForm,detail_5,"Begradigte, weitgehend naturferne Bäche und kleine Flüsse ohne Verbauung; teilweise beschattet",
DrainageNetworkFilterForm,detail_2,"Begradigte, weitgehend naturferne Bäche und kleine Flüsse ohne Verbauung; unbeschattet",
DrainageNetworkFilterForm,group_4,group_4,
DrainageNetworkFilterForm,detail_10,Sammler,
DrainageNetworkFilterForm,detail_6,Drainage,
DrainageNetworkFilterForm,detail_1,Sauger,
DrainageProbabilityFilterForm,threshold,Schwellenwert ,
InfiltrationResultDownloadForm,result,Ergebnisdarstellung,
InfiltrationResultDownloadForm,sinks,Senken,
InfiltrationResultDownloadForm,enlarged_sinks,Vergrößerte Senken,
InfiltrationResultDownloadForm,timeseries,Ökologischer Mindestabfluss,
InjectionDownloadForm,raster,Rasterdaten,
InletWeightingsForm,weighting_inlet_length,Gewichtung der Länge der Zuleitung ,
InletWeightingsForm,weighting_inlet_volume,Gewichtung des Verhältnisses ökologischer Mindestabflusses zu Senkenvolumen ,
MarWeightingForm,aquifer_thickness,Mächtigkeit des Grundwasserleiters ,
MarWeightingForm,depth_groundwater,Tiefe zum Grundwasserleiter 2 ,
MarWeightingForm,hydraulic_conductivity,Hydraulische Leitfähigkeit ,
MarWeightingForm,land_use,Nutzung des Bodens ,
MarWeightingForm,distance_to_source_water,Entfernung zum Rohwasser ,
MarWeightingForm,distance_to_well,Entfernung zum Brunnen ,
OverallWeightingsForm,overall_usability,Gewichtung des Untergrundspeichervolumens ,
OverallWeightingsForm,soil_index,Gewichtung der Bodenbewertung ,
SiekerDrainageDownloadForm,probability_raster,Wahrscheinlichkeiten,
SiekerDrainageDownloadForm,drainage_network,Entwässerungsnetz,
SiekerDrainageDownloadForm,drained_areas,Entwässerte Flächen,
SiekerGekDownloadForm,map,Karte,
SiekerGekDownloadForm,geks,Gewässerentwicklungskonzepte,
SiekerSinkDownloadForm,result,Ergebnisdarstellung,
SiekerSinkDownloadForm,sinks,Senken,
SiekerSinkDownloadForm,timeseries,Ökologischer Mindestabfluss,
SiekerSurfaceWaterResultDownloadForm,lakes,Seen,
SiekerSurfaceWaterResultDownloadForm,stations,Pegelstationen,
SiekerSurfaceWaterResultDownloadForm,timeseries,Pegelzeitreihen,
SiekerWetlandDownloadForm,wetlands,Feuchtgebiete,
ToolboxProjectForm,user_field,Suchgebiet,
ToolboxProjectForm,project_type,Tool,
ToolboxProjectForm,project_id,project_id,
ToolboxProjectForm,name,Project Name,
ToolboxProjectForm,description,Description,
ToolboxProjectSelectionForm,toolbox_project,Projekt,
WeightingsAgricultureForm,field_capacity,Feldkapazität ,
WeightingsAgricultureForm,hydromorphy,Hydromorphie ,
WeightingsAgricultureForm,soil_type,Bodenart ,
WeightingsForestForm,field_capacity,Feldkapazität ,
WeightingsForestForm,hydraulic_conductivity_1m,Hydraulische Leitfähigkeit 1m ,
WeightingsForestForm,hydraulic_conductivity_2m,Hydraulische Leitfähigkeit 2m ,
WeightingsGrasslandForm,field_capacity,Feldkapazität ,
WeightingsGrasslandForm,hydromorphy,Hydromorphie ,
WeightingsGrasslandForm,soil_type,Bodenart ,
WeightingsGrasslandForm,soil_water_ratio,Bodenfeuchte ,
EnlargedSinkFilter,area,Fläche,
EnlargedSinkFilter,volume,Volumen,
EnlargedSinkFilter,depth,Tiefe,
EnlargedSinkFilter,volume_construction_barrier,Volumen der Verwallung,
EnlargedSinkFilter,volume_gained,Zusätzliches Volumen,
EnlargedSinkFilter,land_use,Landnutzung,
GekRetentionFilter,costs,Kosten,
GekRetentionFilter,landuse,Landnutzung,
GekRetentionFilter,priority,Priorität,
HistoricalWetlandsFilter,feasibility,Machbarkeit,
LakeFilter,mean_surplus_volume,Mittleres Überschussvolumen ,
LakeFilter,plus_days,Tage mit Überschuss,
LakeFilter,distance_to_userfield,Suchradius erweitern,
SiekerLargeLakeFilter,area_ha,Fläche,
SiekerLargeLakeFilter,vol_mio_m3,Volumen,
SiekerLargeLakeFilter,d_max_m,Max. Tiefe,
SiekerSinkFilter,volume,Volumen,
SiekerSinkFilter,depth,Tiefe,
SiekerSinkFilter,avg_depth,Durchschnittliche Tiefe,
SiekerSinkFilter,urbanarea_percent,Urbane Fläche,
SiekerSinkFilter,wetlands_percent,Feuchtgebiet,
SiekerSinkFilter,area,Fläche,
SiekerSinkFilter,feasibility,Umsetzbarkeit,
SinkFilter,area,Fläche,
SinkFilter,volume,Volumen,
SinkFilter,depth,Tiefe,
