Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5824800
Messstellenname: Alt Schadow, Schleuse OP
Gewaessername: Spree/Krumme Spree
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 40.724  PNP_NN 
ETRS 89_3_Ost: 428322.99968
ETRS 89_3_Nord: 5774734.000555
Geografische Laenge:  13.953135
Geografische Breite:  52.11849
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1971;00:00:00;227;Gut
02.11.1971;00:00:00;227;Gut
03.11.1971;00:00:00;227;Gut
04.11.1971;00:00:00;225;Gut
05.11.1971;00:00:00;222;Gut
06.11.1971;00:00:00;217;Gut
07.11.1971;00:00:00;218;Gut
08.11.1971;00:00:00;218;Gut
09.11.1971;00:00:00;218;Gut
10.11.1971;00:00:00;218;Gut
11.11.1971;00:00:00;218;Gut
12.11.1971;00:00:00;219;Gut
13.11.1971;00:00:00;219;Gut
14.11.1971;00:00:00;219;Gut
15.11.1971;00:00:00;219;Gut
16.11.1971;00:00:00;228;Gut
17.11.1971;00:00:00;234;Gut
18.11.1971;00:00:00;237;Gut
19.11.1971;00:00:00;233;Gut
20.11.1971;00:00:00;246;Gut
21.11.1971;00:00:00;246;Gut
22.11.1971;00:00:00;245;Gut
23.11.1971;00:00:00;244;Gut
24.11.1971;00:00:00;242;Gut
25.11.1971;00:00:00;239;Gut
26.11.1971;00:00:00;236;Gut
27.11.1971;00:00:00;237;Gut
28.11.1971;00:00:00;241;Gut
29.11.1971;00:00:00;245;Gut
30.11.1971;00:00:00;246;Gut
01.12.1971;00:00:00;246;Gut
02.12.1971;00:00:00;245;Gut
03.12.1971;00:00:00;245;Gut
04.12.1971;00:00:00;246;Gut
05.12.1971;00:00:00;245;Gut
06.12.1971;00:00:00;244;Gut
07.12.1971;00:00:00;246;Gut
08.12.1971;00:00:00;246;Gut
09.12.1971;00:00:00;245;Gut
10.12.1971;00:00:00;245;Gut
11.12.1971;00:00:00;245;Gut
12.12.1971;00:00:00;247;Gut
13.12.1971;00:00:00;251;Gut
14.12.1971;00:00:00;252;Gut
15.12.1971;00:00:00;252;Gut
16.12.1971;00:00:00;249;Gut
17.12.1971;00:00:00;246;Gut
18.12.1971;00:00:00;242;Gut
19.12.1971;00:00:00;240;Gut
20.12.1971;00:00:00;239;Gut
21.12.1971;00:00:00;238;Gut
22.12.1971;00:00:00;239;Gut
23.12.1971;00:00:00;240;Gut
24.12.1971;00:00:00;244;Gut
25.12.1971;00:00:00;247;Gut
26.12.1971;00:00:00;249;Gut
27.12.1971;00:00:00;252;Gut
28.12.1971;00:00:00;256;Gut
29.12.1971;00:00:00;255;Gut
30.12.1971;00:00:00;250;Gut
31.12.1971;00:00:00;246;Gut
01.01.1972;00:00:00;246;Gut
02.01.1972;00:00:00;246;Gut
03.01.1972;00:00:00;248;Gut
04.01.1972;00:00:00;250;Gut
05.01.1972;00:00:00;250;Gut
06.01.1972;00:00:00;250;Gut
07.01.1972;00:00:00;250;Gut
08.01.1972;00:00:00;250;Gut
09.01.1972;00:00:00;250;Gut
10.01.1972;00:00:00;250;Gut
11.01.1972;00:00:00;246;Gut
12.01.1972;00:00:00;248;Gut
13.01.1972;00:00:00;246;Gut
14.01.1972;00:00:00;247;Gut
15.01.1972;00:00:00;240;Gut
16.01.1972;00:00:00;236;Gut
17.01.1972;00:00:00;230;Gut
18.01.1972;00:00:00;228;Gut
19.01.1972;00:00:00;224;Gut
20.01.1972;00:00:00;222;Gut
21.01.1972;00:00:00;214;Gut
22.01.1972;00:00:00;210;Gut
23.01.1972;00:00:00;210;Gut
24.01.1972;00:00:00;212;Gut
25.01.1972;00:00:00;218;Gut
26.01.1972;00:00:00;218;Gut
27.01.1972;00:00:00;219;Gut
28.01.1972;00:00:00;218;Gut
29.01.1972;00:00:00;218;Gut
30.01.1972;00:00:00;218;Gut
31.01.1972;00:00:00;214;Gut
01.02.1972;00:00:00;210;Gut
02.02.1972;00:00:00;210;Gut
03.02.1972;00:00:00;214;Gut
04.02.1972;00:00:00;216;Gut
05.02.1972;00:00:00;217;Gut
06.02.1972;00:00:00;219;Gut
07.02.1972;00:00:00;222;Gut
08.02.1972;00:00:00;224;Gut
09.02.1972;00:00:00;224;Gut
10.02.1972;00:00:00;228;Gut
11.02.1972;00:00:00;230;Gut
12.02.1972;00:00:00;231;Gut
13.02.1972;00:00:00;232;Gut
14.02.1972;00:00:00;230;Gut
15.02.1972;00:00:00;228;Gut
16.02.1972;00:00:00;226;Gut
17.02.1972;00:00:00;226;Gut
18.02.1972;00:00:00;228;Gut
19.02.1972;00:00:00;228;Gut
20.02.1972;00:00:00;229;Gut
21.02.1972;00:00:00;230;Gut
22.02.1972;00:00:00;232;Gut
23.02.1972;00:00:00;230;Gut
24.02.1972;00:00:00;230;Gut
25.02.1972;00:00:00;232;Gut
26.02.1972;00:00:00;234;Gut
27.02.1972;00:00:00;236;Gut
28.02.1972;00:00:00;236;Gut
29.02.1972;00:00:00;236;Gut
01.03.1972;00:00:00;234;Gut
02.03.1972;00:00:00;234;Gut
03.03.1972;00:00:00;229;Gut
04.03.1972;00:00:00;228;Gut
05.03.1972;00:00:00;227;Gut
06.03.1972;00:00:00;227;Gut
07.03.1972;00:00:00;224;Gut
08.03.1972;00:00:00;221;Gut
09.03.1972;00:00:00;220;Gut
10.03.1972;00:00:00;221;Gut
11.03.1972;00:00:00;224;Gut
12.03.1972;00:00:00;230;Gut
13.03.1972;00:00:00;233;Gut
14.03.1972;00:00:00;233;Gut
15.03.1972;00:00:00;232;Gut
16.03.1972;00:00:00;229;Gut
17.03.1972;00:00:00;228;Gut
18.03.1972;00:00:00;226;Gut
19.03.1972;00:00:00;225;Gut
20.03.1972;00:00:00;224;Gut
21.03.1972;00:00:00;225;Gut
22.03.1972;00:00:00;227;Gut
23.03.1972;00:00:00;224;Gut
24.03.1972;00:00:00;221;Gut
25.03.1972;00:00:00;221;Gut
26.03.1972;00:00:00;224;Gut
27.03.1972;00:00:00;225;Gut
28.03.1972;00:00:00;225;Gut
29.03.1972;00:00:00;226;Gut
30.03.1972;00:00:00;227;Gut
31.03.1972;00:00:00;226;Gut
01.04.1972;00:00:00;226;Gut
02.04.1972;00:00:00;226;Gut
03.04.1972;00:00:00;228;Gut
04.04.1972;00:00:00;227;Gut
05.04.1972;00:00:00;226;Gut
06.04.1972;00:00:00;227;Gut
07.04.1972;00:00:00;228;Gut
08.04.1972;00:00:00;228;Gut
09.04.1972;00:00:00;228;Gut
10.04.1972;00:00:00;228;Gut
11.04.1972;00:00:00;227;Gut
12.04.1972;00:00:00;224;Gut
13.04.1972;00:00:00;222;Gut
14.04.1972;00:00:00;222;Gut
15.04.1972;00:00:00;224;Gut
16.04.1972;00:00:00;226;Gut
17.04.1972;00:00:00;226;Gut
18.04.1972;00:00:00;226;Gut
19.04.1972;00:00:00;228;Gut
20.04.1972;00:00:00;227;Gut
21.04.1972;00:00:00;227;Gut
22.04.1972;00:00:00;227;Gut
23.04.1972;00:00:00;228;Gut
24.04.1972;00:00:00;227;Gut
25.04.1972;00:00:00;224;Gut
26.04.1972;00:00:00;224;Gut
27.04.1972;00:00:00;227;Gut
28.04.1972;00:00:00;228;Gut
29.04.1972;00:00:00;228;Gut
30.04.1972;00:00:00;228;Gut
01.05.1972;00:00:00;225;Gut
02.05.1972;00:00:00;223;Gut
03.05.1972;00:00:00;225;Gut
04.05.1972;00:00:00;225;Gut
05.05.1972;00:00:00;226;Gut
06.05.1972;00:00:00;226;Gut
07.05.1972;00:00:00;225;Gut
08.05.1972;00:00:00;224;Gut
09.05.1972;00:00:00;222;Gut
10.05.1972;00:00:00;225;Gut
11.05.1972;00:00:00;229;Gut
12.05.1972;00:00:00;228;Gut
13.05.1972;00:00:00;227;Gut
14.05.1972;00:00:00;227;Gut
15.05.1972;00:00:00;225;Gut
16.05.1972;00:00:00;227;Gut
17.05.1972;00:00:00;228;Gut
18.05.1972;00:00:00;228;Gut
