Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5826801
Messstellenname: Alt Mönchwinkel 2
Gewaessername: Spree/Müggelspree
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 33.763  DHHN2016 
ETRS 89_3_Ost: 424622.999746
ETRS 89_3_Nord: 5804989.000545
Geografische Laenge:  13.892351
Geografische Breite:  52.389957
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.2002;07:00:00;166;Gut
02.11.2002;07:00:00;170;Gut
03.11.2002;07:00:00;176;Gut
04.11.2002;07:00:00;166;Gut
05.11.2002;07:00:00;158;Gut
06.11.2002;07:00:00;174;Gut
07.11.2002;07:00:00;178;Gut
08.11.2002;07:00:00;182;Gut
09.11.2002;07:00:00;182;Gut
10.11.2002;07:00:00;166;Gut
11.11.2002;07:00:00;171;Gut
12.11.2002;07:00:00;170;Gut
13.11.2002;07:00:00;181;Gut
14.11.2002;07:00:00;182;Gut
15.11.2002;07:00:00;179;Gut
16.11.2002;07:00:00;176;Gut
17.11.2002;07:00:00;176;Gut
18.11.2002;07:00:00;179;Gut
19.11.2002;07:00:00;161;Gut
20.11.2002;07:00:00;159;Gut
21.11.2002;07:00:00;162;Gut
22.11.2002;07:00:00;162;Gut
23.11.2002;07:00:00;170;Gut
24.11.2002;07:00:00;162;Gut
25.11.2002;07:00:00;162;Gut
26.11.2002;07:00:00;158;Gut
27.11.2002;07:00:00;157;Gut
28.11.2002;07:00:00;157;Gut
29.11.2002;07:00:00;153;Gut
30.11.2002;07:00:00;158;Gut
01.12.2002;07:00:00;164;Gut
02.12.2002;07:00:00;168;Gut
03.12.2002;07:00:00;162;Gut
04.12.2002;07:00:00;166;Gut
05.12.2002;07:00:00;169;Gut
06.12.2002;07:00:00;170;Gut
07.12.2002;07:00:00;172;Gut
08.12.2002;07:00:00;168;Gut
09.12.2002;07:00:00;167;Gut
10.12.2002;07:00:00;170;Gut
11.12.2002;07:00:00;182;Gut
12.12.2002;07:00:00;198;Gut
13.12.2002;07:00:00;212;Gut
14.12.2002;07:00:00;220;Gut
15.12.2002;07:00:00;227;Gut
16.12.2002;07:00:00;228;Gut
17.12.2002;07:00:00;202;Gut
18.12.2002;07:00:00;186;Gut
19.12.2002;07:00:00;158;Gut
20.12.2002;07:00:00;180;Gut
21.12.2002;07:00:00;171;Gut
22.12.2002;07:00:00;168;Gut
23.12.2002;07:00:00;162;Gut
24.12.2002;07:00:00;168;Gut
25.12.2002;07:00:00;170;Gut
26.12.2002;07:00:00;180;Gut
27.12.2002;07:00:00;152;Gut
28.12.2002;07:00:00;150;Gut
29.12.2002;07:00:00;150;Gut
30.12.2002;07:00:00;156;Gut
31.12.2002;07:00:00;164;Gut
01.01.2003;07:00:00;165;Gut
02.01.2003;07:00:00;164;Gut
03.01.2003;07:00:00;176;Gut
04.01.2003;07:00:00;182;Gut
05.01.2003;07:00:00;190;Gut
06.01.2003;07:00:00;194;Gut
07.01.2003;07:00:00;202;Gut
08.01.2003;07:00:00;202;Gut
09.01.2003;07:00:00;202;Gut
10.01.2003;07:00:00;204;Gut
11.01.2003;07:00:00;234;Gut
12.01.2003;07:00:00;235;Gut
13.01.2003;07:00:00;235;Gut
14.01.2003;07:00:00;235;Gut
15.01.2003;07:00:00;226;Gut
16.01.2003;07:00:00;219;Gut
17.01.2003;07:00:00;216;Gut
18.01.2003;07:00:00;210;Gut
19.01.2003;07:00:00;202;Gut
20.01.2003;07:00:00;195;Gut
21.01.2003;07:00:00;180;Gut
22.01.2003;07:00:00;182;Gut
23.01.2003;07:00:00;190;Gut
24.01.2003;07:00:00;188;Gut
25.01.2003;07:00:00;190;Gut
26.01.2003;07:00:00;190;Gut
27.01.2003;07:00:00;190;Gut
28.01.2003;07:00:00;187;Gut
29.01.2003;07:00:00;190;Gut
30.01.2003;07:00:00;183;Gut
31.01.2003;07:00:00;185;Gut
01.02.2003;07:00:00;192;Gut
02.02.2003;07:00:00;188;Gut
03.02.2003;07:00:00;190;Gut
04.02.2003;07:00:00;184;Gut
05.02.2003;07:00:00;182;Gut
06.02.2003;07:00:00;176;Gut
07.02.2003;07:00:00;180;Gut
08.02.2003;07:00:00;175;Gut
09.02.2003;07:00:00;175;Gut
10.02.2003;07:00:00;173;Gut
11.02.2003;07:00:00;176;Gut
12.02.2003;07:00:00;172;Gut
13.02.2003;07:00:00;180;Gut
14.02.2003;07:00:00;157;Gut
15.02.2003;07:00:00;154;Gut
16.02.2003;07:00:00;132;Gut
17.02.2003;07:00:00;156;Gut
18.02.2003;07:00:00;147;Gut
19.02.2003;07:00:00;178;Gut
20.02.2003;07:00:00;180;Gut
21.02.2003;07:00:00;150;Gut
22.02.2003;07:00:00;146;Gut
23.02.2003;07:00:00;154;Gut
24.02.2003;07:00:00;156;Gut
25.02.2003;07:00:00;162;Gut
26.02.2003;07:00:00;174;Gut
27.02.2003;07:00:00;167;Gut
28.02.2003;07:00:00;162;Gut
01.03.2003;07:00:00;162;Gut
02.03.2003;07:00:00;170;Gut
03.03.2003;07:00:00;170;Gut
04.03.2003;07:00:00;168;Gut
05.03.2003;07:00:00;153;Gut
06.03.2003;07:00:00;153;Gut
07.03.2003;07:00:00;162;Gut
08.03.2003;07:00:00;156;Gut
09.03.2003;07:00:00;158;Gut
10.03.2003;07:00:00;168;Gut
11.03.2003;07:00:00;171;Gut
12.03.2003;07:00:00;159;Gut
13.03.2003;07:00:00;160;Gut
14.03.2003;07:00:00;158;Gut
15.03.2003;07:00:00;178;Gut
16.03.2003;07:00:00;172;Gut
17.03.2003;07:00:00;171;Gut
18.03.2003;07:00:00;178;Gut
19.03.2003;07:00:00;166;Gut
20.03.2003;07:00:00;164;Gut
21.03.2003;07:00:00;172;Gut
22.03.2003;07:00:00;160;Gut
23.03.2003;07:00:00;153;Gut
24.03.2003;07:00:00;170;Gut
25.03.2003;07:00:00;143;Gut
26.03.2003;07:00:00;164;Gut
27.03.2003;07:00:00;151;Gut
28.03.2003;07:00:00;154;Gut
29.03.2003;07:00:00;177;Gut
30.03.2003;07:00:00;157;Gut
31.03.2003;07:00:00;152;Gut
01.04.2003;07:00:00;156;Gut
02.04.2003;07:00:00;152;Gut
03.04.2003;07:00:00;162;Gut
04.04.2003;07:00:00;165;Gut
05.04.2003;07:00:00;174;Gut
06.04.2003;07:00:00;170;Gut
07.04.2003;07:00:00;154;Gut
08.04.2003;07:00:00;164;Gut
09.04.2003;07:00:00;160;Gut
10.04.2003;07:00:00;156;Gut
11.04.2003;07:00:00;146;Gut
12.04.2003;07:00:00;156;Gut
13.04.2003;07:00:00;150;Gut
14.04.2003;07:00:00;138;Gut
15.04.2003;07:00:00;118;Gut
16.04.2003;07:00:00;116;Gut
17.04.2003;07:00:00;116;Gut
18.04.2003;07:00:00;116;Gut
19.04.2003;07:00:00;112;Gut
20.04.2003;07:00:00;120;Gut
21.04.2003;07:00:00;122;Gut
22.04.2003;07:00:00;150;Gut
23.04.2003;07:00:00;130;Gut
24.04.2003;07:00:00;104;Gut
25.04.2003;07:00:00;120;Gut
26.04.2003;07:00:00;142;Gut
27.04.2003;07:00:00;146;Gut
28.04.2003;07:00:00;142;Gut
29.04.2003;07:00:00;134;Gut
30.04.2003;07:00:00;132;Gut
01.05.2003;07:00:00;120;Gut
02.05.2003;07:00:00;129;Gut
03.05.2003;07:00:00;106;Gut
04.05.2003;07:00:00;114;Gut
05.05.2003;07:00:00;108;Gut
06.05.2003;07:00:00;100;Gut
07.05.2003;07:00:00;114;Gut
08.05.2003;07:00:00;122;Gut
09.05.2003;07:00:00;110;Gut
10.05.2003;07:00:00;116;Gut
11.05.2003;07:00:00;116;Gut
12.05.2003;07:00:00;104;Gut
13.05.2003;07:00:00;80;Gut
14.05.2003;07:00:00;80;Gut
15.05.2003;07:00:00;80;Gut
16.05.2003;07:00:00;102;Gut
17.05.2003;07:00:00;105;Gut
18.05.2003;07:00:00;102;Gut
19.05.2003;07:00:00;104;Gut
20.05.2003;07:00:00;104;Gut
21.05.2003;07:00:00;103;Gut
22.05.2003;07:00:00;112;Gut
