Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5826300
Messstellenname: Drahendorf, Nadelwehr UP
Gewaessername: Spree/Drahendorfer Spree
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 36.513  PNP_NN 
ETRS 89_3_Ost: 447506.000217
ETRS 89_3_Nord: 5794263.00003
Geografische Laenge:  14.230248
Geografische Breite:  52.296207
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1959;00:00:00;170;Gut
02.11.1959;00:00:00;170;Gut
03.11.1959;00:00:00;174;Gut
04.11.1959;00:00:00;180;Gut
05.11.1959;00:00:00;178;Gut
06.11.1959;00:00:00;174;Gut
07.11.1959;00:00:00;164;Gut
08.11.1959;00:00:00;155;Gut
09.11.1959;00:00:00;151;Gut
10.11.1959;00:00:00;154;Gut
11.11.1959;00:00:00;156;Gut
12.11.1959;00:00:00;156;Gut
13.11.1959;00:00:00;152;Gut
14.11.1959;00:00:00;150;Gut
15.11.1959;00:00:00;150;Gut
16.11.1959;00:00:00;150;Gut
17.11.1959;00:00:00;154;Gut
18.11.1959;00:00:00;154;Gut
19.11.1959;00:00:00;158;Gut
20.11.1959;00:00:00;158;Gut
21.11.1959;00:00:00;160;Gut
22.11.1959;00:00:00;158;Gut
23.11.1959;00:00:00;158;Gut
24.11.1959;00:00:00;165;Gut
25.11.1959;00:00:00;168;Gut
26.11.1959;00:00:00;162;Gut
27.11.1959;00:00:00;154;Gut
28.11.1959;00:00:00;151;Gut
29.11.1959;00:00:00;150;Gut
30.11.1959;00:00:00;150;Gut
01.12.1959;00:00:00;150;Gut
02.12.1959;00:00:00;150;Gut
03.12.1959;00:00:00;148;Gut
04.12.1959;00:00:00;151;Gut
05.12.1959;00:00:00;150;Gut
06.12.1959;00:00:00;154;Gut
07.12.1959;00:00:00;154;Gut
08.12.1959;00:00:00;154;Gut
09.12.1959;00:00:00;150;Gut
10.12.1959;00:00:00;148;Gut
11.12.1959;00:00:00;148;Gut
12.12.1959;00:00:00;152;Gut
13.12.1959;00:00:00;153;Gut
14.12.1959;00:00:00;156;Gut
15.12.1959;00:00:00;160;Gut
16.12.1959;00:00:00;158;Gut
17.12.1959;00:00:00;158;Gut
18.12.1959;00:00:00;158;Gut
19.12.1959;00:00:00;154;Gut
20.12.1959;00:00:00;153;Gut
21.12.1959;00:00:00;151;Gut
22.12.1959;00:00:00;152;Gut
23.12.1959;00:00:00;165;Gut
24.12.1959;00:00:00;170;Gut
25.12.1959;00:00:00;168;Gut
26.12.1959;00:00:00;165;Gut
27.12.1959;00:00:00;166;Gut
28.12.1959;00:00:00;165;Gut
29.12.1959;00:00:00;165;Gut
30.12.1959;00:00:00;166;Gut
31.12.1959;00:00:00;168;Gut
01.01.1960;00:00:00;170;Gut
02.01.1960;00:00:00;170;Gut
03.01.1960;00:00:00;171;Gut
04.01.1960;00:00:00;170;Gut
05.01.1960;00:00:00;165;Gut
06.01.1960;00:00:00;166;Gut
07.01.1960;00:00:00;167;Gut
08.01.1960;00:00:00;166;Gut
09.01.1960;00:00:00;168;Gut
10.01.1960;00:00:00;167;Gut
11.01.1960;00:00:00;168;Gut
12.01.1960;00:00:00;170;Gut
13.01.1960;00:00:00;150;Gut
14.01.1960;00:00:00;150;Gut
15.01.1960;00:00:00;160;Gut
16.01.1960;00:00:00;178;Gut
17.01.1960;00:00:00;183;Gut
18.01.1960;00:00:00;192;Gut
19.01.1960;00:00:00;191;Gut
20.01.1960;00:00:00;190;Gut
21.01.1960;00:00:00;190;Gut
22.01.1960;00:00:00;189;Gut
23.01.1960;00:00:00;185;Gut
24.01.1960;00:00:00;183;Gut
25.01.1960;00:00:00;184;Gut
26.01.1960;00:00:00;174;Gut
27.01.1960;00:00:00;170;Gut
28.01.1960;00:00:00;166;Gut
29.01.1960;00:00:00;166;Gut
30.01.1960;00:00:00;166;Gut
31.01.1960;00:00:00;171;Gut
01.02.1960;00:00:00;162;Gut
02.02.1960;00:00:00;170;Gut
03.02.1960;00:00:00;174;Gut
