Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5869301
Messstellenname: Friedland, Panzerbrücke
Gewaessername: Friedländer Fließ
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 40.163  PNP_NN 
ETRS 89_3_Ost: 449203.000221
ETRS 89_3_Nord: 5772721.000026
Geografische Laenge:  14.258361
Geografische Breite:  52.102706
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1980;00:00:00;173;Gut
02.11.1980;00:00:00;192;Gut
03.11.1980;00:00:00;192;Gut
04.11.1980;00:00:00;198;Gut
05.11.1980;00:00:00;197;Gut
06.11.1980;00:00:00;196;Gut
07.11.1980;00:00:00;198;Gut
08.11.1980;00:00:00;198;Gut
09.11.1980;00:00:00;194;Gut
10.11.1980;00:00:00;192;Gut
11.11.1980;00:00:00;184;Gut
12.11.1980;00:00:00;177;Gut
13.11.1980;00:00:00;186;Gut
14.11.1980;00:00:00;188;Gut
15.11.1980;00:00:00;188;Gut
16.11.1980;00:00:00;192;Gut
17.11.1980;00:00:00;190;Gut
18.11.1980;00:00:00;189;Gut
19.11.1980;00:00:00;188;Gut
20.11.1980;00:00:00;188;Gut
21.11.1980;00:00:00;180;Gut
22.11.1980;00:00:00;190;Gut
23.11.1980;00:00:00;194;Gut
24.11.1980;00:00:00;196;Gut
25.11.1980;00:00:00;196;Gut
26.11.1980;00:00:00;194;Gut
27.11.1980;00:00:00;182;Gut
28.11.1980;00:00:00;181;Gut
29.11.1980;00:00:00;180;Gut
30.11.1980;00:00:00;180;Gut
01.12.1980;00:00:00;184;Gut
02.12.1980;00:00:00;188;Gut
03.12.1980;00:00:00;188;Gut
04.12.1980;00:00:00;182;Gut
05.12.1980;00:00:00;167;Gut
06.12.1980;00:00:00;192;Gut
07.12.1980;00:00:00;154;Gut
08.12.1980;00:00:00;172;Gut
09.12.1980;00:00:00;184;Gut
10.12.1980;00:00:00;180;Gut
11.12.1980;00:00:00;170;Gut
12.12.1980;00:00:00;186;Gut
13.12.1980;00:00:00;180;Gut
