Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5860100
Messstellenname: Grünheide 1
Gewaessername: Löcknitz
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 32.387  PNP_NN 
ETRS 89_3_Ost: 418446.999711
ETRS 89_3_Nord: 5807891.000407
Geografische Laenge:  13.80091
Geografische Breite:  52.415156
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1966;00:00:00;19;Gut
02.11.1966;00:00:00;16;Gut
03.11.1966;00:00:00;10;Gut
04.11.1966;00:00:00;10;Gut
05.11.1966;00:00:00;8;Gut
06.11.1966;00:00:00;8;Gut
07.11.1966;00:00:00;8;Gut
08.11.1966;00:00:00;8;Gut
09.11.1966;00:00:00;8;Gut
10.11.1966;00:00:00;8;Gut
11.11.1966;00:00:00;8;Gut
12.11.1966;00:00:00;8;Gut
13.11.1966;00:00:00;8;Gut
14.11.1966;00:00:00;7;Gut
15.11.1966;00:00:00;8;Gut
16.11.1966;00:00:00;9;Gut
17.11.1966;00:00:00;10;Gut
18.11.1966;00:00:00;10;Gut
19.11.1966;00:00:00;11;Gut
20.11.1966;00:00:00;18;Gut
21.11.1966;00:00:00;20;Gut
22.11.1966;00:00:00;21;Gut
23.11.1966;00:00:00;20;Gut
24.11.1966;00:00:00;19;Gut
25.11.1966;00:00:00;18;Gut
26.11.1966;00:00:00;17;Gut
27.11.1966;00:00:00;17;Gut
28.11.1966;00:00:00;18;Gut
29.11.1966;00:00:00;17;Gut
30.11.1966;00:00:00;17;Gut
01.12.1966;00:00:00;19;Gut
02.12.1966;00:00:00;20;Gut
03.12.1966;00:00:00;16;Gut
04.12.1966;00:00:00;15;Gut
05.12.1966;00:00:00;13;Gut
06.12.1966;00:00:00;12;Gut
07.12.1966;00:00:00;12;Gut
08.12.1966;00:00:00;12;Gut
09.12.1966;00:00:00;12;Gut
10.12.1966;00:00:00;12;Gut
11.12.1966;00:00:00;12;Gut
12.12.1966;00:00:00;12;Gut
