Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5857100
Messstellenname: Ressen, Stau UP
Gewaessername: Ressener Mühlenfließ
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 41.42  PNP_NN 
ETRS 89_3_Ost: 442671.999782
ETRS 89_3_Nord: 5765304.999956
Geografische Laenge:  14.164264
Geografische Breite:  52.035399
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1980;00:00:00;35;Gut
02.11.1980;00:00:00;35;Gut
03.11.1980;00:00:00;33;Gut
04.11.1980;00:00:00;32;Gut
05.11.1980;00:00:00;32;Gut
06.11.1980;00:00:00;32;Gut
07.11.1980;00:00:00;32;Gut
08.11.1980;00:00:00;32;Gut
09.11.1980;00:00:00;32;Gut
10.11.1980;00:00:00;32;Gut
11.11.1980;00:00:00;32;Gut
12.11.1980;00:00:00;32;Gut
13.11.1980;00:00:00;32;Gut
14.11.1980;00:00:00;32;Gut
15.11.1980;00:00:00;32;Gut
16.11.1980;00:00:00;40;Gut
17.11.1980;00:00:00;38;Gut
18.11.1980;00:00:00;36;Gut
19.11.1980;00:00:00;34;Gut
20.11.1980;00:00:00;34;Gut
21.11.1980;00:00:00;33;Gut
22.11.1980;00:00:00;33;Gut
23.11.1980;00:00:00;33;Gut
24.11.1980;00:00:00;33;Gut
25.11.1980;00:00:00;33;Gut
26.11.1980;00:00:00;33;Gut
27.11.1980;00:00:00;34;Gut
28.11.1980;00:00:00;33;Gut
29.11.1980;00:00:00;32;Gut
30.11.1980;00:00:00;30;Gut
01.12.1980;00:00:00;30;Gut
02.12.1980;00:00:00;30;Gut
03.12.1980;00:00:00;28;Gut
04.12.1980;00:00:00;28;Gut
05.12.1980;00:00:00;29;Gut
06.12.1980;00:00:00;27;Gut
07.12.1980;00:00:00;27;Gut
08.12.1980;00:00:00;27;Gut
09.12.1980;00:00:00;27;Gut
10.12.1980;00:00:00;28;Gut
11.12.1980;00:00:00;40;Gut
12.12.1980;00:00:00;38;Gut
13.12.1980;00:00:00;38;Gut
14.12.1980;00:00:00;37;Gut
15.12.1980;00:00:00;37;Gut
16.12.1980;00:00:00;34;Gut
17.12.1980;00:00:00;33;Gut
18.12.1980;00:00:00;32;Gut
19.12.1980;00:00:00;33;Gut
20.12.1980;00:00:00;33;Gut
21.12.1980;00:00:00;33;Gut
22.12.1980;00:00:00;34;Gut
23.12.1980;00:00:00;34;Gut
24.12.1980;00:00:00;36;Gut
25.12.1980;00:00:00;36;Gut
26.12.1980;00:00:00;34;Gut
27.12.1980;00:00:00;33;Gut
28.12.1980;00:00:00;33;Gut
29.12.1980;00:00:00;32;Gut
30.12.1980;00:00:00;32;Gut
31.12.1980;00:00:00;31;Gut
01.01.1981;00:00:00;32;Gut
02.01.1981;00:00:00;33;Gut
03.01.1981;00:00:00;38;Gut
04.01.1981;00:00:00;48;Gut
05.01.1981;00:00:00;41;Gut
06.01.1981;00:00:00;39;Gut
07.01.1981;00:00:00;33;Gut
08.01.1981;00:00:00;38;Gut
09.01.1981;00:00:00;35;Gut
10.01.1981;00:00:00;31;Gut
11.01.1981;00:00:00;31;Gut
12.01.1981;00:00:00;31;Gut
13.01.1981;00:00:00;31;Gut
14.01.1981;00:00:00;31;Gut
15.01.1981;00:00:00;31;Gut
16.01.1981;00:00:00;31;Gut
17.01.1981;00:00:00;31;Gut
18.01.1981;00:00:00;31;Gut
19.01.1981;00:00:00;31;Gut
20.01.1981;00:00:00;30;Gut
21.01.1981;00:00:00;28;Gut
22.01.1981;00:00:00;29;Gut
23.01.1981;00:00:00;29;Gut
24.01.1981;00:00:00;30;Gut
25.01.1981;00:00:00;30;Gut
26.01.1981;00:00:00;32;Gut
27.01.1981;00:00:00;32;Gut
28.01.1981;00:00:00;35;Gut
29.01.1981;00:00:00;30;Gut
30.01.1981;00:00:00;31;Gut
31.01.1981;00:00:00;31;Gut
01.02.1981;00:00:00;31;Gut
02.02.1981;00:00:00;31;Gut
03.02.1981;00:00:00;36;Gut
04.02.1981;00:00:00;40;Gut
05.02.1981;00:00:00;38;Gut
06.02.1981;00:00:00;38;Gut
07.02.1981;00:00:00;47;Gut
08.02.1981;00:00:00;45;Gut
09.02.1981;00:00:00;42;Gut
10.02.1981;00:00:00;40;Gut
11.02.1981;00:00:00;38;Gut
12.02.1981;00:00:00;36;Gut
13.02.1981;00:00:00;36;Gut
14.02.1981;00:00:00;35;Gut
15.02.1981;00:00:00;34;Gut
16.02.1981;00:00:00;36;Gut
17.02.1981;00:00:00;33;Gut
18.02.1981;00:00:00;32;Gut
19.02.1981;00:00:00;32;Gut
20.02.1981;00:00:00;32;Gut
21.02.1981;00:00:00;30;Gut
22.02.1981;00:00:00;30;Gut
23.02.1981;00:00:00;30;Gut
24.02.1981;00:00:00;30;Gut
25.02.1981;00:00:00;30;Gut
26.02.1981;00:00:00;30;Gut
27.02.1981;00:00:00;31;Gut
28.02.1981;00:00:00;31;Gut
01.03.1981;00:00:00;31;Gut
02.03.1981;00:00:00;30;Gut
03.03.1981;00:00:00;30;Gut
04.03.1981;00:00:00;32;Gut
05.03.1981;00:00:00;32;Gut
06.03.1981;00:00:00;33;Gut
07.03.1981;00:00:00;35;Gut
08.03.1981;00:00:00;35;Gut
09.03.1981;00:00:00;35;Gut
10.03.1981;00:00:00;35;Gut
11.03.1981;00:00:00;58;Gut
12.03.1981;00:00:00;57;Gut
13.03.1981;00:00:00;47;Gut
14.03.1981;00:00:00;46;Gut
15.03.1981;00:00:00;40;Gut
16.03.1981;00:00:00;37;Gut
17.03.1981;00:00:00;37;Gut
18.03.1981;00:00:00;35;Gut
19.03.1981;00:00:00;34;Gut
20.03.1981;00:00:00;33;Gut
21.03.1981;00:00:00;30;Gut
22.03.1981;00:00:00;30;Gut
23.03.1981;00:00:00;28;Gut
