Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5825200
Messstellenname: Trebatsch, Schleuse OP
Gewaessername: Spree/Krumme Spree
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 38.434  PNP_NN 
ETRS 89_3_Ost: 442054.000246
ETRS 89_3_Nord: 5771473.000414
Geografische Laenge:  14.154209
Geografische Breite:  52.090784
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1993;00:00:00;210;Gut
02.11.1993;00:00:00;210;Gut
03.11.1993;00:00:00;226;Gut
04.11.1993;00:00:00;240;Gut
05.11.1993;00:00:00;260;Gut
06.11.1993;00:00:00;262;Gut
07.11.1993;00:00:00;264;Gut
08.11.1993;00:00:00;270;Gut
09.11.1993;00:00:00;270;Gut
10.11.1993;00:00:00;270;Gut
11.11.1993;00:00:00;270;Gut
12.11.1993;00:00:00;270;Gut
13.11.1993;00:00:00;270;Gut
14.11.1993;00:00:00;270;Gut
15.11.1993;00:00:00;270;Gut
16.11.1993;00:00:00;270;Gut
17.11.1993;00:00:00;270;Gut
18.11.1993;00:00:00;270;Gut
19.11.1993;00:00:00;270;Gut
20.11.1993;00:00:00;270;Gut
21.11.1993;00:00:00;272;Gut
22.11.1993;00:00:00;272;Gut
23.11.1993;00:00:00;272;Gut
24.11.1993;00:00:00;272;Gut
25.11.1993;00:00:00;272;Gut
26.11.1993;00:00:00;272;Gut
27.11.1993;00:00:00;272;Gut
28.11.1993;00:00:00;272;Gut
29.11.1993;00:00:00;272;Gut
30.11.1993;00:00:00;272;Gut
01.12.1993;00:00:00;272;Gut
02.12.1993;00:00:00;272;Gut
03.12.1993;00:00:00;272;Gut
04.12.1993;00:00:00;272;Gut
05.12.1993;00:00:00;272;Gut
06.12.1993;00:00:00;272;Gut
07.12.1993;00:00:00;272;Gut
08.12.1993;00:00:00;272;Gut
09.12.1993;00:00:00;274;Gut
10.12.1993;00:00:00;275;Gut
11.12.1993;00:00:00;277;Gut
12.12.1993;00:00:00;279;Gut
13.12.1993;00:00:00;280;Gut
14.12.1993;00:00:00;281;Gut
15.12.1993;00:00:00;282;Gut
16.12.1993;00:00:00;282;Gut
17.12.1993;00:00:00;282;Gut
18.12.1993;00:00:00;282;Gut
19.12.1993;00:00:00;282;Gut
20.12.1993;00:00:00;282;Gut
21.12.1993;00:00:00;282;Gut
22.12.1993;00:00:00;283;Gut
23.12.1993;00:00:00;285;Gut
24.12.1993;00:00:00;286;Gut
25.12.1993;00:00:00;287;Gut
26.12.1993;00:00:00;288;Gut
27.12.1993;00:00:00;288;Gut
28.12.1993;00:00:00;291;Gut
29.12.1993;00:00:00;293;Gut
30.12.1993;00:00:00;295;Gut
31.12.1993;00:00:00;297;Gut
01.01.1994;00:00:00;297;Gut
02.01.1994;00:00:00;298;Gut
03.01.1994;00:00:00;298;Gut
04.01.1994;00:00:00;298;Gut
05.01.1994;00:00:00;298;Gut
06.01.1994;00:00:00;302;Gut
07.01.1994;00:00:00;302;Gut
08.01.1994;00:00:00;302;Gut
09.01.1994;00:00:00;302;Gut
10.01.1994;00:00:00;302;Gut
11.01.1994;00:00:00;304;Gut
12.01.1994;00:00:00;305;Gut
13.01.1994;00:00:00;306;Gut
14.01.1994;00:00:00;306;Gut
15.01.1994;00:00:00;305;Gut
16.01.1994;00:00:00;304;Gut
17.01.1994;00:00:00;304;Gut
18.01.1994;00:00:00;302;Gut
19.01.1994;00:00:00;298;Gut
20.01.1994;00:00:00;296;Gut
21.01.1994;00:00:00;294;Gut
22.01.1994;00:00:00;288;Gut
23.01.1994;00:00:00;286;Gut
24.01.1994;00:00:00;280;Gut
25.01.1994;00:00:00;284;Gut
26.01.1994;00:00:00;284;Gut
27.01.1994;00:00:00;284;Gut
28.01.1994;00:00:00;286;Gut
29.01.1994;00:00:00;286;Gut
30.01.1994;00:00:00;286;Gut
31.01.1994;00:00:00;286;Gut
01.02.1994;00:00:00;286;Gut
02.02.1994;00:00:00;284;Gut
03.02.1994;00:00:00;282;Gut
04.02.1994;00:00:00;280;Gut
05.02.1994;00:00:00;278;Gut
06.02.1994;00:00:00;277;Gut
07.02.1994;00:00:00;277;Gut
08.02.1994;00:00:00;277;Gut
09.02.1994;00:00:00;277;Gut
10.02.1994;00:00:00;277;Gut
11.02.1994;00:00:00;280;Gut
12.02.1994;00:00:00;285;Gut
13.02.1994;00:00:00;290;Gut
14.02.1994;00:00:00;303;Gut
15.02.1994;00:00:00;306;Gut
16.02.1994;00:00:00;310;Gut
17.02.1994;00:00:00;305;Gut
18.02.1994;00:00:00;290;Gut
19.02.1994;00:00:00;285;Gut
20.02.1994;00:00:00;280;Gut
21.02.1994;00:00:00;273;Gut
22.02.1994;00:00:00;270;Gut
23.02.1994;00:00:00;267;Gut
24.02.1994;00:00:00;264;Gut
25.02.1994;00:00:00;260;Gut
26.02.1994;00:00:00;256;Gut
27.02.1994;00:00:00;254;Gut
28.02.1994;00:00:00;251;Gut
01.03.1994;00:00:00;251;Gut
02.03.1994;00:00:00;252;Gut
03.03.1994;00:00:00;254;Gut
04.03.1994;00:00:00;256;Gut
05.03.1994;00:00:00;260;Gut
06.03.1994;00:00:00;262;Gut
07.03.1994;00:00:00;265;Gut
08.03.1994;00:00:00;270;Gut
09.03.1994;00:00:00;270;Gut
10.03.1994;00:00:00;272;Gut
11.03.1994;00:00:00;275;Gut
12.03.1994;00:00:00;277;Gut
13.03.1994;00:00:00;279;Gut
14.03.1994;00:00:00;301;Gut
15.03.1994;00:00:00;303;Gut
16.03.1994;00:00:00;305;Gut
17.03.1994;00:00:00;307;Gut
18.03.1994;00:00:00;310;Gut
19.03.1994;00:00:00;313;Gut
20.03.1994;00:00:00;315;Gut
21.03.1994;00:00:00;318;Gut
22.03.1994;00:00:00;321;Gut
23.03.1994;00:00:00;325;Gut
24.03.1994;00:00:00;328;Gut
25.03.1994;00:00:00;330;Gut
26.03.1994;00:00:00;333;Gut
27.03.1994;00:00:00;338;Gut
28.03.1994;00:00:00;339;Gut
29.03.1994;00:00:00;340;Gut
30.03.1994;00:00:00;342;Gut
31.03.1994;00:00:00;344;Gut
01.04.1994;00:00:00;344;Gut
02.04.1994;00:00:00;342;Gut
03.04.1994;00:00:00;340;Gut
04.04.1994;00:00:00;338;Gut
05.04.1994;00:00:00;336;Gut
06.04.1994;00:00:00;335;Gut
07.04.1994;00:00:00;333;Gut
08.04.1994;00:00:00;331;Gut
09.04.1994;00:00:00;328;Gut
10.04.1994;00:00:00;325;Gut
11.04.1994;00:00:00;322;Gut
12.04.1994;00:00:00;324;Gut
13.04.1994;00:00:00;328;Gut
14.04.1994;00:00:00;328;Gut
15.04.1994;00:00:00;330;Gut
16.04.1994;00:00:00;332;Gut
17.04.1994;00:00:00;334;Gut
18.04.1994;00:00:00;334;Gut
19.04.1994;00:00:00;336;Gut
20.04.1994;00:00:00;338;Gut
21.04.1994;00:00:00;338;Gut
22.04.1994;00:00:00;335;Gut
23.04.1994;00:00:00;332;Gut
24.04.1994;00:00:00;328;Gut
25.04.1994;00:00:00;322;Gut
26.04.1994;00:00:00;318;Gut
27.04.1994;00:00:00;314;Gut
28.04.1994;00:00:00;308;Gut
29.04.1994;00:00:00;304;Gut
30.04.1994;00:00:00;300;Gut
01.05.1994;00:00:00;308;Gut
02.05.1994;00:00:00;294;Gut
03.05.1994;00:00:00;284;Gut
04.05.1994;00:00:00;266;Gut
05.05.1994;00:00:00;264;Gut
06.05.1994;00:00:00;264;Gut
07.05.1994;00:00:00;264;Gut
08.05.1994;00:00:00;264;Gut
09.05.1994;00:00:00;265;Gut
10.05.1994;00:00:00;266;Gut
11.05.1994;00:00:00;268;Gut
12.05.1994;00:00:00;266;Gut
13.05.1994;00:00:00;264;Gut
14.05.1994;00:00:00;264;Gut
15.05.1994;00:00:00;264;Gut
16.05.1994;00:00:00;264;Gut
17.05.1994;00:00:00;258;Gut
18.05.1994;00:00:00;260;Gut
19.05.1994;00:00:00;264;Gut
20.05.1994;00:00:00;264;Gut
21.05.1994;00:00:00;268;Gut
22.05.1994;00:00:00;268;Gut
23.05.1994;00:00:00;272;Gut
24.05.1994;00:00:00;280;Gut
25.05.1994;00:00:00;290;Gut
26.05.1994;00:00:00;292;Gut
27.05.1994;00:00:00;291;Gut
28.05.1994;00:00:00;291;Gut
29.05.1994;00:00:00;284;Gut
30.05.1994;00:00:00;284;Gut
31.05.1994;00:00:00;283;Gut
01.06.1994;00:00:00;268;Gut
02.06.1994;00:00:00;268;Gut
03.06.1994;00:00:00;268;Gut
04.06.1994;00:00:00;267;Gut
05.06.1994;00:00:00;267;Gut
06.06.1994;00:00:00;266;Gut
07.06.1994;00:00:00;265;Gut
08.06.1994;00:00:00;265;Gut
09.06.1994;00:00:00;264;Gut
10.06.1994;00:00:00;264;Gut
11.06.1994;00:00:00;262;Gut
12.06.1994;00:00:00;261;Gut
