Betreiber: LfU-Süd
Pegelkennziffer (PKZ): 5825300
Messstellenname: Trebatsch, Schleuse UP
Gewaessername: Spree/Krumme Spree
Abstand zu Muendung: 
AEO [qkm]: 
Pegelnullpunkt: 38.434  PNP_NN 
ETRS 89_3_Ost: 442080.999853
ETRS 89_3_Nord: 5771412.999735
Geografische Laenge:  14.154613
Geografische Breite:  52.090247
Parameter: W [cm]
Datum;Uhrzeit;Wert[cm];Status des Werts
01.11.1980;00:00:00;271;Gut
02.11.1980;00:00:00;266;Gut
03.11.1980;00:00:00;259;Gut
04.11.1980;00:00:00;253;Gut
05.11.1980;00:00:00;242;Gut
06.11.1980;00:00:00;232;Gut
07.11.1980;00:00:00;223;Gut
08.11.1980;00:00:00;217;Gut
09.11.1980;00:00:00;210;Gut
10.11.1980;00:00:00;200;Gut
11.11.1980;00:00:00;190;Gut
12.11.1980;00:00:00;184;Gut
13.11.1980;00:00:00;180;Gut
14.11.1980;00:00:00;170;Gut
15.11.1980;00:00:00;163;Gut
16.11.1980;00:00:00;163;Gut
17.11.1980;00:00:00;163;Gut
18.11.1980;00:00:00;170;Gut
19.11.1980;00:00:00;180;Gut
20.11.1980;00:00:00;184;Gut
21.11.1980;00:00:00;190;Gut
22.11.1980;00:00:00;195;Gut
23.11.1980;00:00:00;200;Gut
24.11.1980;00:00:00;204;Gut
25.11.1980;00:00:00;210;Gut
26.11.1980;00:00:00;210;Gut
27.11.1980;00:00:00;210;Gut
28.11.1980;00:00:00;200;Gut
29.11.1980;00:00:00;200;Gut
30.11.1980;00:00:00;200;Gut
01.12.1980;00:00:00;199;Gut
02.12.1980;00:00:00;199;Gut
03.12.1980;00:00:00;199;Gut
04.12.1980;00:00:00;195;Gut
05.12.1980;00:00:00;195;Gut
06.12.1980;00:00:00;190;Gut
07.12.1980;00:00:00;199;Gut
08.12.1980;00:00:00;209;Gut
09.12.1980;00:00:00;225;Gut
10.12.1980;00:00:00;221;Gut
11.12.1980;00:00:00;217;Gut
12.12.1980;00:00:00;235;Gut
13.12.1980;00:00:00;242;Gut
14.12.1980;00:00:00;250;Gut
15.12.1980;00:00:00;262;Gut
16.12.1980;00:00:00;269;Gut
17.12.1980;00:00:00;271;Gut
18.12.1980;00:00:00;271;Gut
19.12.1980;00:00:00;271;Gut
20.12.1980;00:00:00;271;Gut
21.12.1980;00:00:00;271;Gut
22.12.1980;00:00:00;271;Gut
23.12.1980;00:00:00;275;Gut
24.12.1980;00:00:00;277;Gut
25.12.1980;00:00:00;280;Gut
26.12.1980;00:00:00;283;Gut
27.12.1980;00:00:00;286;Gut
28.12.1980;00:00:00;286;Gut
29.12.1980;00:00:00;286;Gut
30.12.1980;00:00:00;286;Gut
31.12.1980;00:00:00;286;Gut
01.01.1981;00:00:00;286;Gut
02.01.1981;00:00:00;286;Gut
03.01.1981;00:00:00;286;Gut
04.01.1981;00:00:00;294;Gut
05.01.1981;00:00:00;294;Gut
06.01.1981;00:00:00;294;Gut
07.01.1981;00:00:00;300;Gut
08.01.1981;00:00:00;300;Gut
09.01.1981;00:00:00;300;Gut
10.01.1981;00:00:00;300;Gut
11.01.1981;00:00:00;300;Gut
12.01.1981;00:00:00;300;Gut
13.01.1981;00:00:00;300;Gut
14.01.1981;00:00:00;298;Gut
15.01.1981;00:00:00;298;Gut
16.01.1981;00:00:00;298;Gut
17.01.1981;00:00:00;298;Gut
18.01.1981;00:00:00;298;Gut
19.01.1981;00:00:00;298;Gut
20.01.1981;00:00:00;294;Gut
21.01.1981;00:00:00;294;Gut
22.01.1981;00:00:00;294;Gut
23.01.1981;00:00:00;296;Gut
24.01.1981;00:00:00;296;Gut
25.01.1981;00:00:00;296;Gut
26.01.1981;00:00:00;296;Gut
27.01.1981;00:00:00;296;Gut
28.01.1981;00:00:00;296;Gut
29.01.1981;00:00:00;296;Gut
30.01.1981;00:00:00;296;Gut
31.01.1981;00:00:00;296;Gut
01.02.1981;00:00:00;296;Gut
02.02.1981;00:00:00;296;Gut
03.02.1981;00:00:00;296;Gut
04.02.1981;00:00:00;296;Gut
05.02.1981;00:00:00;296;Gut
06.02.1981;00:00:00;297;Gut
07.02.1981;00:00:00;297;Gut
08.02.1981;00:00:00;300;Gut
09.02.1981;00:00:00;300;Gut
10.02.1981;00:00:00;300;Gut
11.02.1981;00:00:00;300;Gut
12.02.1981;00:00:00;300;Gut
13.02.1981;00:00:00;300;Gut
14.02.1981;00:00:00;300;Gut
15.02.1981;00:00:00;300;Gut
16.02.1981;00:00:00;300;Gut
17.02.1981;00:00:00;300;Gut
18.02.1981;00:00:00;300;Gut
19.02.1981;00:00:00;300;Gut
20.02.1981;00:00:00;300;Gut
21.02.1981;00:00:00;298;Gut
22.02.1981;00:00:00;298;Gut
23.02.1981;00:00:00;298;Gut
24.02.1981;00:00:00;298;Gut
25.02.1981;00:00:00;296;Gut
26.02.1981;00:00:00;296;Gut
27.02.1981;00:00:00;296;Gut
28.02.1981;00:00:00;294;Gut
01.03.1981;00:00:00;294;Gut
02.03.1981;00:00:00;292;Gut
03.03.1981;00:00:00;292;Gut
04.03.1981;00:00:00;292;Gut
05.03.1981;00:00:00;292;Gut
06.03.1981;00:00:00;292;Gut
07.03.1981;00:00:00;292;Gut
08.03.1981;00:00:00;292;Gut
09.03.1981;00:00:00;292;Gut
10.03.1981;00:00:00;290;Gut
11.03.1981;00:00:00;290;Gut
12.03.1981;00:00:00;294;Gut
13.03.1981;00:00:00;294;Gut
14.03.1981;00:00:00;296;Gut
15.03.1981;00:00:00;300;Gut
16.03.1981;00:00:00;302;Gut
17.03.1981;00:00:00;302;Gut
18.03.1981;00:00:00;305;Gut
19.03.1981;00:00:00;305;Gut
20.03.1981;00:00:00;305;Gut
21.03.1981;00:00:00;305;Gut
22.03.1981;00:00:00;305;Gut
23.03.1981;00:00:00;305;Gut
24.03.1981;00:00:00;307;Gut
25.03.1981;00:00:00;320;Gut
26.03.1981;00:00:00;320;Gut
27.03.1981;00:00:00;322;Gut
28.03.1981;00:00:00;324;Gut
29.03.1981;00:00:00;324;Gut
30.03.1981;00:00:00;324;Gut
31.03.1981;00:00:00;324;Gut
01.04.1981;00:00:00;324;Gut
02.04.1981;00:00:00;324;Gut
03.04.1981;00:00:00;322;Gut
04.04.1981;00:00:00;320;Gut
05.04.1981;00:00:00;320;Gut
06.04.1981;00:00:00;320;Gut
07.04.1981;00:00:00;319;Gut
08.04.1981;00:00:00;298;Gut
09.04.1981;00:00:00;298;Gut
10.04.1981;00:00:00;299;Gut
11.04.1981;00:00:00;290;Gut
12.04.1981;00:00:00;289;Gut
13.04.1981;00:00:00;289;Gut
14.04.1981;00:00:00;202;Gut
15.04.1981;00:00:00;178;Gut
16.04.1981;00:00:00;178;Gut
17.04.1981;00:00:00;178;Gut
18.04.1981;00:00:00;178;Gut
19.04.1981;00:00:00;160;Gut
20.04.1981;00:00:00;160;Gut
21.04.1981;00:00:00;160;Gut
