Betreiber: LfU
Pegelkennziffer (PKZ): 6919100
Messstellenname: Frankfurt (Oder), Westkreuz
Gewaessername: Klinge
AEo [qkm]: 8,20
Pegelnullpunkt: 55,193  DHHN2016 
ETRS 89_3_Ost: 465727,370062
ETRS 89_3_Nord: 5799817,120227
Geografische Laenge:  14,496859
Geografische Breite:  52,347578
Parameter: W [cm]
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
15.02.1995;Tagesmittel;26;Gut
16.02.1995;Tagesmittel;26;Gut
17.02.1995;Tagesmittel;27;Gut
18.02.1995;Tagesmittel;26;Gut
19.02.1995;Tagesmittel;24;Gut
20.02.1995;Tagesmittel;26;Gut
21.02.1995;Tagesmittel;25;Gut
22.02.1995;Tagesmittel;24;Gut
23.02.1995;Tagesmittel;23;Gut
24.02.1995;Tagesmittel;23;Gut
25.02.1995;Tagesmittel;23;Gut
26.02.1995;Tagesmittel;23;Gut
27.02.1995;Tagesmittel;24;Gut
28.02.1995;Tagesmittel;26;Gut
01.03.1995;Tagesmittel;25;Gut
02.03.1995;Tagesmittel;24;Gut
03.03.1995;Tagesmittel;23;Gut
04.03.1995;Tagesmittel;23;Gut
05.03.1995;Tagesmittel;22;Gut
06.03.1995;Tagesmittel;22;Gut
07.03.1995;Tagesmittel;21;Gut
08.03.1995;Tagesmittel;21;Gut
09.03.1995;Tagesmittel;21;Gut
10.03.1995;Tagesmittel;20;Gut
11.03.1995;Tagesmittel;20;Gut
12.03.1995;Tagesmittel;20;Gut
13.03.1995;Tagesmittel;20;Gut
14.03.1995;Tagesmittel;20;Gut
15.03.1995;Tagesmittel;22;Gut
16.03.1995;Tagesmittel;20;Gut
17.03.1995;Tagesmittel;20;Gut
18.03.1995;Tagesmittel;22;Gut
19.03.1995;Tagesmittel;22;Gut
20.03.1995;Tagesmittel;22;Gut
21.03.1995;Tagesmittel;22;Gut
22.03.1995;Tagesmittel;21;Gut
23.03.1995;Tagesmittel;21;Gut
24.03.1995;Tagesmittel;20;Gut
25.03.1995;Tagesmittel;22;Gut
26.03.1995;Tagesmittel;22;Gut
27.03.1995;Tagesmittel;24;Gut
28.03.1995;Tagesmittel;24;Gut
29.03.1995;Tagesmittel;25;Gut
30.03.1995;Tagesmittel;25;Gut
31.03.1995;Tagesmittel;25;Gut
01.04.1995;Tagesmittel;25;Gut
02.04.1995;Tagesmittel;24;Gut
03.04.1995;Tagesmittel;24;Gut
04.04.1995;Tagesmittel;23;Gut
05.04.1995;Tagesmittel;23;Gut
06.04.1995;Tagesmittel;23;Gut
07.04.1995;Tagesmittel;23;Gut
08.04.1995;Tagesmittel;23;Gut
09.04.1995;Tagesmittel;22;Gut
10.04.1995;Tagesmittel;21;Gut
11.04.1995;Tagesmittel;22;Gut
12.04.1995;Tagesmittel;21;Gut
13.04.1995;Tagesmittel;21;Gut
14.04.1995;Tagesmittel;20;Gut
15.04.1995;Tagesmittel;20;Gut
16.04.1995;Tagesmittel;21;Gut
17.04.1995;Tagesmittel;21;Gut
18.04.1995;Tagesmittel;21;Gut
19.04.1995;Tagesmittel;21;Gut
20.04.1995;Tagesmittel;21;Gut
21.04.1995;Tagesmittel;20;Gut
22.04.1995;Tagesmittel;20;Gut
23.04.1995;Tagesmittel;20;Gut
24.04.1995;Tagesmittel;20;Gut
25.04.1995;Tagesmittel;20;Gut
26.04.1995;Tagesmittel;20;Gut
27.04.1995;Tagesmittel;20;Gut
28.04.1995;Tagesmittel;20;Gut
29.04.1995;Tagesmittel;20;Gut
30.04.1995;Tagesmittel;19;Gut
01.05.1995;Tagesmittel;20;Gut
02.05.1995;Tagesmittel;19;Gut
03.05.1995;Tagesmittel;19;Gut
04.05.1995;Tagesmittel;19;Gut
05.05.1995;Tagesmittel;19;Gut
06.05.1995;Tagesmittel;19;Gut
07.05.1995;Tagesmittel;19;Gut
08.05.1995;Tagesmittel;19;Gut
09.05.1995;Tagesmittel;20;Gut
10.05.1995;Tagesmittel;19;Gut
11.05.1995;Tagesmittel;19;Gut
12.05.1995;Tagesmittel;19;Gut
13.05.1995;Tagesmittel;26;Gut
14.05.1995;Tagesmittel;30;Gut
15.05.1995;Tagesmittel;24;Gut
16.05.1995;Tagesmittel;23;Gut
17.05.1995;Tagesmittel;23;Gut
18.05.1995;Tagesmittel;22;Gut
19.05.1995;Tagesmittel;23;Gut
20.05.1995;Tagesmittel;20;Gut
21.05.1995;Tagesmittel;20;Gut
22.05.1995;Tagesmittel;20;Gut
23.05.1995;Tagesmittel;20;Gut
24.05.1995;Tagesmittel;19;Gut
25.05.1995;Tagesmittel;19;Gut
26.05.1995;Tagesmittel;19;Gut
27.05.1995;Tagesmittel;18;Gut
28.05.1995;Tagesmittel;18;Gut
29.05.1995;Tagesmittel;18;Gut
30.05.1995;Tagesmittel;19;Gut
31.05.1995;Tagesmittel;19;Gut
01.06.1995;Tagesmittel;18;Gut
02.06.1995;Tagesmittel;19;Gut
03.06.1995;Tagesmittel;18;Gut
04.06.1995;Tagesmittel;18;Gut
05.06.1995;Tagesmittel;18;Gut
06.06.1995;Tagesmittel;17;Gut
07.06.1995;Tagesmittel;17;Gut
08.06.1995;Tagesmittel;17;Gut
09.06.1995;Tagesmittel;19;Gut
10.06.1995;Tagesmittel;18;Gut
11.06.1995;Tagesmittel;19;Gut
12.06.1995;Tagesmittel;19;Gut
13.06.1995;Tagesmittel;26;Gut
14.06.1995;Tagesmittel;23;Gut
15.06.1995;Tagesmittel;23;Gut
16.06.1995;Tagesmittel;22;Gut
17.06.1995;Tagesmittel;21;Gut
18.06.1995;Tagesmittel;20;Gut
19.06.1995;Tagesmittel;20;Gut
20.06.1995;Tagesmittel;20;Gut
21.06.1995;Tagesmittel;24;Gut
22.06.1995;Tagesmittel;22;Gut
23.06.1995;Tagesmittel;20;Gut
24.06.1995;Tagesmittel;20;Gut
25.06.1995;Tagesmittel;20;Gut
26.06.1995;Tagesmittel;20;Gut
27.06.1995;Tagesmittel;20;Gut
28.06.1995;Tagesmittel;19;Gut
29.06.1995;Tagesmittel;18;Gut
30.06.1995;Tagesmittel;18;Gut
01.07.1995;Tagesmittel;18;Gut
02.07.1995;Tagesmittel;18;Gut
03.07.1995;Tagesmittel;20;Gut
04.07.1995;Tagesmittel;20;Gut
05.07.1995;Tagesmittel;17;Gut
06.07.1995;Tagesmittel;17;Gut
07.07.1995;Tagesmittel;17;Gut
08.07.1995;Tagesmittel;17;Gut
09.07.1995;Tagesmittel;17;Gut
10.07.1995;Tagesmittel;16;Gut
11.07.1995;Tagesmittel;16;Gut
12.07.1995;Tagesmittel;17;Gut
13.07.1995;Tagesmittel;17;Gut
14.07.1995;Tagesmittel;18;Gut
15.07.1995;Tagesmittel;19;Gut
16.07.1995;Tagesmittel;18;Gut
17.07.1995;Tagesmittel;17;Gut
18.07.1995;Tagesmittel;17;Gut
19.07.1995;Tagesmittel;17;Gut
20.07.1995;Tagesmittel;17;Gut
21.07.1995;Tagesmittel;17;Gut
22.07.1995;Tagesmittel;17;Gut
23.07.1995;Tagesmittel;17;Gut
24.07.1995;Tagesmittel;17;Gut
25.07.1995;Tagesmittel;17;Gut
26.07.1995;Tagesmittel;17;Gut
27.07.1995;Tagesmittel;16;Gut
28.07.1995;Tagesmittel;16;Gut
29.07.1995;Tagesmittel;15;Gut
30.07.1995;Tagesmittel;15;Gut
31.07.1995;Tagesmittel;15;Gut
01.08.1995;Tagesmittel;15;Gut
02.08.1995;Tagesmittel;16;Gut
03.08.1995;Tagesmittel;16;Gut
04.08.1995;Tagesmittel;16;Gut
05.08.1995;Tagesmittel;16;Gut
06.08.1995;Tagesmittel;16;Gut
07.08.1995;Tagesmittel;16;Gut
08.08.1995;Tagesmittel;16;Gut
09.08.1995;Tagesmittel;15;Gut
10.08.1995;Tagesmittel;15;Gut
11.08.1995;Tagesmittel;15;Gut
12.08.1995;Tagesmittel;15;Gut
13.08.1995;Tagesmittel;15;Gut
14.08.1995;Tagesmittel;15;Gut
15.08.1995;Tagesmittel;15;Gut
16.08.1995;Tagesmittel;16;Gut
17.08.1995;Tagesmittel;15;Gut
18.08.1995;Tagesmittel;15;Gut
19.08.1995;Tagesmittel;15;Gut
20.08.1995;Tagesmittel;15;Gut
21.08.1995;Tagesmittel;16;Gut
22.08.1995;Tagesmittel;16;Gut
23.08.1995;Tagesmittel;15;Gut
24.08.1995;Tagesmittel;15;Gut
25.08.1995;Tagesmittel;15;Gut
26.08.1995;Tagesmittel;16;Gut
27.08.1995;Tagesmittel;16;Gut
28.08.1995;Tagesmittel;16;Gut
29.08.1995;Tagesmittel;16;Gut
30.08.1995;Tagesmittel;15;Gut
31.08.1995;Tagesmittel;19;Gut
01.09.1995;Tagesmittel;20;Gut
02.09.1995;Tagesmittel;17;Gut
03.09.1995;Tagesmittel;17;Gut
04.09.1995;Tagesmittel;16;Gut
05.09.1995;Tagesmittel;16;Gut
06.09.1995;Tagesmittel;16;Gut
07.09.1995;Tagesmittel;16;Gut
08.09.1995;Tagesmittel;16;Gut
09.09.1995;Tagesmittel;17;Gut
10.09.1995;Tagesmittel;16;Gut
11.09.1995;Tagesmittel;16;Gut
12.09.1995;Tagesmittel;16;Gut
13.09.1995;Tagesmittel;15;Gut
14.09.1995;Tagesmittel;15;Gut
15.09.1995;Tagesmittel;15;Gut
16.09.1995;Tagesmittel;15;Gut
17.09.1995;Tagesmittel;15;Gut
18.09.1995;Tagesmittel;15;Gut
19.09.1995;Tagesmittel;15;Gut
20.09.1995;Tagesmittel;16;Gut
21.09.1995;Tagesmittel;16;Gut
22.09.1995;Tagesmittel;15;Gut
23.09.1995;Tagesmittel;15;Gut
24.09.1995;Tagesmittel;15;Gut
25.09.1995;Tagesmittel;15;Gut
26.09.1995;Tagesmittel;15;Gut
27.09.1995;Tagesmittel;18;Gut
28.09.1995;Tagesmittel;17;Gut
29.09.1995;Tagesmittel;17;Gut
30.09.1995;Tagesmittel;17;Gut
01.10.1995;Tagesmittel;17;Gut
02.10.1995;Tagesmittel;17;Gut
03.10.1995;Tagesmittel;17;Gut
04.10.1995;Tagesmittel;16;Gut
05.10.1995;Tagesmittel;16;Gut
06.10.1995;Tagesmittel;16;Gut
07.10.1995;Tagesmittel;16;Gut
08.10.1995;Tagesmittel;16;Gut
09.10.1995;Tagesmittel;16;Gut
10.10.1995;Tagesmittel;16;Gut
11.10.1995;Tagesmittel;16;Gut
12.10.1995;Tagesmittel;16;Gut
13.10.1995;Tagesmittel;16;Gut
14.10.1995;Tagesmittel;16;Gut
15.10.1995;Tagesmittel;16;Gut
16.10.1995;Tagesmittel;16;Gut
17.10.1995;Tagesmittel;16;Gut
18.10.1995;Tagesmittel;16;Gut
19.10.1995;Tagesmittel;16;Gut
20.10.1995;Tagesmittel;16;Gut
21.10.1995;Tagesmittel;16;Gut
22.10.1995;Tagesmittel;16;Gut
23.10.1995;Tagesmittel;16;Gut
24.10.1995;Tagesmittel;16;Gut
25.10.1995;Tagesmittel;15;Gut
26.10.1995;Tagesmittel;15;Gut
27.10.1995;Tagesmittel;15;Gut
28.10.1995;Tagesmittel;15;Gut
29.10.1995;Tagesmittel;15;Gut
30.10.1995;Tagesmittel;16;Gut
31.10.1995;Tagesmittel;16;Gut
01.11.1995;Tagesmittel;17;Gut
02.11.1995;Tagesmittel;17;Gut
03.11.1995;Tagesmittel;17;Gut
04.11.1995;Tagesmittel;17;Gut
05.11.1995;Tagesmittel;16;Gut
06.11.1995;Tagesmittel;17;Gut
07.11.1995;Tagesmittel;17;Gut
