Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919600;;;
Messstellenname: Frankfurt (Oder), Beckmannstraße;;;
Gewaessername: Klinge;;;
AEo [qkm]: 20,95;;;
Pegelnullpunkt: 23,177  DHHN2016 ;;;
ETRS 89_3_Ost: 468707,37003;;;
ETRS 89_3_Nord: 5800074,780486;;;
Geografische Laenge:  14,540582;;;
Geografische Breite:  52,350073;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
01.11.1981;Terminwerte;7;Gut
02.11.1981;Terminwerte;6;Gut
03.11.1981;Terminwerte;6;Gut
04.11.1981;Terminwerte;6;Gut
05.11.1981;Terminwerte;7;Gut
06.11.1981;Terminwerte;7;Gut
07.11.1981;Terminwerte;6;Gut
08.11.1981;Terminwerte;6;Gut
09.11.1981;Terminwerte;8;Gut
10.11.1981;Terminwerte;7;Gut
11.11.1981;Terminwerte;7;Gut
12.11.1981;Terminwerte;11;Gut
13.11.1981;Terminwerte;8;Gut
14.11.1981;Terminwerte;8;Gut
15.11.1981;Terminwerte;8;Gut
16.11.1981;Terminwerte;7;Gut
17.11.1981;Terminwerte;8;Gut
18.11.1981;Terminwerte;8;Gut
19.11.1981;Terminwerte;10;Gut
20.11.1981;Terminwerte;9;Gut
21.11.1981;Terminwerte;9;Gut
22.11.1981;Terminwerte;8;Gut
23.11.1981;Terminwerte;8;Gut
24.11.1981;Terminwerte;8;Gut
25.11.1981;Terminwerte;8;Gut
26.11.1981;Terminwerte;9;Gut
27.11.1981;Terminwerte;10;Gut
28.11.1981;Terminwerte;11;Gut
29.11.1981;Terminwerte;12;Gut
30.11.1981;Terminwerte;12;Gut
01.12.1981;Terminwerte;11;Gut
02.12.1981;Terminwerte;12;Gut
03.12.1981;Terminwerte;10;Gut
04.12.1981;Terminwerte;13;Gut
05.12.1981;Terminwerte;12;Gut
06.12.1981;Terminwerte;10;Gut
07.12.1981;Terminwerte;10;Gut
08.12.1981;Terminwerte;10;Gut
09.12.1981;Terminwerte;10;Gut
10.12.1981;Terminwerte;10;Gut
11.12.1981;Terminwerte;9;Gut
12.12.1981;Terminwerte;9;Gut
13.12.1981;Terminwerte;9;Gut
14.12.1981;Terminwerte;9;Gut
15.12.1981;Terminwerte;9;Gut
16.12.1981;Terminwerte;9;Gut
17.12.1981;Terminwerte;9;Gut
18.12.1981;Terminwerte;8;Gut
19.12.1981;Terminwerte;7;Gut
20.12.1981;Terminwerte;7;Gut
21.12.1981;Terminwerte;7;Gut
22.12.1981;Terminwerte;7;Gut
23.12.1981;Terminwerte;8;Gut
24.12.1981;Terminwerte;10;Gut
25.12.1981;Terminwerte;9;Gut
26.12.1981;Terminwerte;8;Gut
27.12.1981;Terminwerte;8;Gut
28.12.1981;Terminwerte;8;Gut
29.12.1981;Terminwerte;9;Gut
30.12.1981;Terminwerte;9;Gut
31.12.1981;Terminwerte;9;Gut
01.01.1982;Terminwerte;19;Gut
02.01.1982;Terminwerte;25;Gut
03.01.1982;Terminwerte;29;Gut
04.01.1982;Terminwerte;15;Gut
05.01.1982;Terminwerte;17;Gut
06.01.1982;Terminwerte;37;Gut
07.01.1982;Terminwerte;15;Gut
08.01.1982;Terminwerte;11;Gut
09.01.1982;Terminwerte;10;Gut
10.01.1982;Terminwerte;10;Gut
11.01.1982;Terminwerte;10;Gut
12.01.1982;Terminwerte;8;Gut
13.01.1982;Terminwerte;6;Gut
14.01.1982;Terminwerte;6;Gut
15.01.1982;Terminwerte;6;Gut
16.01.1982;Terminwerte;6;Gut
17.01.1982;Terminwerte;6;Gut
18.01.1982;Terminwerte;6;Gut
19.01.1982;Terminwerte;6;Gut
20.01.1982;Terminwerte;6;Gut
21.01.1982;Terminwerte;6;Gut
22.01.1982;Terminwerte;7;Gut
23.01.1982;Terminwerte;7;Gut
24.01.1982;Terminwerte;7;Gut
25.01.1982;Terminwerte;7;Gut
26.01.1982;Terminwerte;7;Gut
27.01.1982;Terminwerte;7;Gut
28.01.1982;Terminwerte;8;Gut
29.01.1982;Terminwerte;11;Gut
30.01.1982;Terminwerte;13;Gut
31.01.1982;Terminwerte;11;Gut
01.02.1982;Terminwerte;7;Gut
02.02.1982;Terminwerte;6;Gut
03.02.1982;Terminwerte;6;Gut
04.02.1982;Terminwerte;6;Gut
05.02.1982;Terminwerte;6;Gut
06.02.1982;Terminwerte;6;Gut
07.02.1982;Terminwerte;6;Gut
08.02.1982;Terminwerte;6;Gut
09.02.1982;Terminwerte;6;Gut
10.02.1982;Terminwerte;6;Gut
11.02.1982;Terminwerte;6;Gut
12.02.1982;Terminwerte;7;Gut
13.02.1982;Terminwerte;6;Gut
14.02.1982;Terminwerte;6;Gut
15.02.1982;Terminwerte;6;Gut
16.02.1982;Terminwerte;6;Gut
17.02.1982;Terminwerte;6;Gut
18.02.1982;Terminwerte;6;Gut
19.02.1982;Terminwerte;6;Gut
20.02.1982;Terminwerte;6;Gut
21.02.1982;Terminwerte;6;Gut
22.02.1982;Terminwerte;7;Gut
23.02.1982;Terminwerte;7;Gut
24.02.1982;Terminwerte;7;Gut
25.02.1982;Terminwerte;7;Gut
26.02.1982;Terminwerte;7;Gut
27.02.1982;Terminwerte;7;Gut
28.02.1982;Terminwerte;7;Gut
01.03.1982;Terminwerte;7;Gut
02.03.1982;Terminwerte;8;Gut
03.03.1982;Terminwerte;10;Gut
04.03.1982;Terminwerte;8;Gut
05.03.1982;Terminwerte;8;Gut
06.03.1982;Terminwerte;8;Gut
07.03.1982;Terminwerte;8;Gut
08.03.1982;Terminwerte;8;Gut
09.03.1982;Terminwerte;10;Gut
10.03.1982;Terminwerte;11;Gut
11.03.1982;Terminwerte;15;Gut
12.03.1982;Terminwerte;8;Gut
13.03.1982;Terminwerte;9;Gut
14.03.1982;Terminwerte;8;Gut
15.03.1982;Terminwerte;8;Gut
16.03.1982;Terminwerte;8;Gut
17.03.1982;Terminwerte;8;Gut
18.03.1982;Terminwerte;8;Gut
19.03.1982;Terminwerte;10;Gut
20.03.1982;Terminwerte;10;Gut
21.03.1982;Terminwerte;7;Gut
22.03.1982;Terminwerte;7;Gut
23.03.1982;Terminwerte;7;Gut
24.03.1982;Terminwerte;7;Gut
25.03.1982;Terminwerte;7;Gut
26.03.1982;Terminwerte;7;Gut
27.03.1982;Terminwerte;7;Gut
28.03.1982;Terminwerte;7;Gut
29.03.1982;Terminwerte;7;Gut
30.03.1982;Terminwerte;7;Gut
31.03.1982;Terminwerte;7;Gut
01.04.1982;Terminwerte;7;Gut
02.04.1982;Terminwerte;7;Gut
03.04.1982;Terminwerte;6;Gut
04.04.1982;Terminwerte;6;Gut
05.04.1982;Terminwerte;5;Gut
06.04.1982;Terminwerte;4;Gut
07.04.1982;Terminwerte;4;Gut
08.04.1982;Terminwerte;5;Gut
09.04.1982;Terminwerte;6;Gut
10.04.1982;Terminwerte;7;Gut
11.04.1982;Terminwerte;8;Gut
12.04.1982;Terminwerte;8;Gut
13.04.1982;Terminwerte;7;Gut
14.04.1982;Terminwerte;6;Gut
15.04.1982;Terminwerte;6;Gut
16.04.1982;Terminwerte;6;Gut
17.04.1982;Terminwerte;5;Gut
18.04.1982;Terminwerte;5;Gut
19.04.1982;Terminwerte;5;Gut
20.04.1982;Terminwerte;5;Gut
21.04.1982;Terminwerte;5;Gut
22.04.1982;Terminwerte;5;Gut
23.04.1982;Terminwerte;5;Gut
24.04.1982;Terminwerte;5;Gut
25.04.1982;Terminwerte;6;Gut
26.04.1982;Terminwerte;6;Gut
27.04.1982;Terminwerte;6;Gut
28.04.1982;Terminwerte;7;Gut
29.04.1982;Terminwerte;7;Gut
30.04.1982;Terminwerte;7;Gut
01.05.1982;Terminwerte;7;Gut
02.05.1982;Terminwerte;7;Gut
03.05.1982;Terminwerte;7;Gut
04.05.1982;Terminwerte;7;Gut
