Betreiber: LfU_Dahme
Pegelkennziffer (PKZ): 5862300
Messstellenname: Hermsdorfer Mühle OP
Gewaessername: Dahme
Abstand zur Muendung: 
AEo [qkm]:
Pegelnullpunkt: 32,262  DHHN2016 
ETRS 89_3_Ost: 415738,000173
ETRS 89_3_Nord: 5780175,999664
Geografische Laenge:  13,76802
Geografische Breite:  52,165631
Parameter: W [cm]
Datum;Uhrzeit;Wert [cm];Qualität
01.11.1979;;444;Gut
02.11.1979;;448;Gut
03.11.1979;;442;Gut
04.11.1979;;440;Gut
05.11.1979;;444;Gut
06.11.1979;;452;Gut
07.11.1979;;445;Gut
08.11.1979;;445;Gut
09.11.1979;;448;Gut
10.11.1979;;446;Gut
11.11.1979;;465;Gut
12.11.1979;;448;Gut
13.11.1979;;448;Gut
14.11.1979;;446;Gut
15.11.1979;;448;Gut
16.11.1979;;444;Gut
17.11.1979;;445;Gut
18.11.1979;;445;Gut
19.11.1979;;444;Gut
20.11.1979;;445;Gut
21.11.1979;;442;Gut
22.11.1979;;442;Gut
23.11.1979;;441;Gut
24.11.1979;;447;Gut
25.11.1979;;445;Gut
26.11.1979;;447;Gut
27.11.1979;;442;Gut
28.11.1979;;441;Gut
29.11.1979;;427;Gut
30.11.1979;;445;Gut
01.12.1979;;446;Gut
02.12.1979;;436;Gut
03.12.1979;;438;Gut
04.12.1979;;441;Gut
05.12.1979;;444;Gut
06.12.1979;;446;Gut
07.12.1979;;420;Gut
08.12.1979;;449;Gut
09.12.1979;;445;Gut
10.12.1979;;458;Gut
11.12.1979;;444;Gut
12.12.1979;;443;Gut
13.12.1979;;445;Gut
14.12.1979;;449;Gut
15.12.1979;;452;Gut
16.12.1979;;466;Gut
17.12.1979;;466;Gut
18.12.1979;;466;Gut
19.12.1979;;468;Gut
20.12.1979;;468;Gut
21.12.1979;;468;Gut
22.12.1979;;468;Gut
23.12.1979;;463;Gut
24.12.1979;;460;Gut
25.12.1979;;456;Gut
26.12.1979;;452;Gut
27.12.1979;;449;Gut
28.12.1979;;458;Gut
29.12.1979;;448;Gut
30.12.1979;;447;Gut
31.12.1979;;445;Gut
01.01.1980;;448;Gut
02.01.1980;;448;Gut
03.01.1980;;448;Gut
04.01.1980;;446;Gut
05.01.1980;;444;Gut
06.01.1980;;438;Gut
07.01.1980;;444;Gut
08.01.1980;;442;Gut
09.01.1980;;451;Gut
10.01.1980;;444;Gut
11.01.1980;;453;Gut
12.01.1980;;442;Gut
13.01.1980;;440;Gut
14.01.1980;;447;Gut
15.01.1980;;444;Gut
16.01.1980;;452;Gut
17.01.1980;;444;Gut
18.01.1980;;444;Gut
19.01.1980;;447;Gut
20.01.1980;;443;Gut
21.01.1980;;441;Gut
22.01.1980;;450;Gut
