Betreiber: LfU_Dahme
Pegelkennziffer (PKZ): 5864500
Messstellenname: Königs Wusterhausen, Schleuse UP
Gewaessername: Nottekanal
Abstand zur Muendung: 
AEo [qkm]:
Pegelnullpunkt: 31,488  DHHN2016 
ETRS 89_3_Ost: 406170,999688
ETRS 89_3_Nord: 5794924,000369
Geografische Laenge:  13,624091
Geografische Breite:  52,296643
Parameter: W [cm]
Datum;Uhrzeit;Wert [cm];Qualität
01.11.1965;;84;Gut
02.11.1965;;86;Gut
03.11.1965;;86;Gut
04.11.1965;;86;Gut
05.11.1965;;84;Gut
06.11.1965;;86;Gut
07.11.1965;;84;Gut
08.11.1965;;84;Gut
09.11.1965;;84;Gut
10.11.1965;;88;Gut
11.11.1965;;86;Gut
12.11.1965;;86;Gut
13.11.1965;;86;Gut
14.11.1965;;86;Gut
15.11.1965;;86;Gut
16.11.1965;;86;Gut
17.11.1965;;76;Gut
18.11.1965;;76;Gut
19.11.1965;;80;Gut
20.11.1965;;80;Gut
21.11.1965;;80;Gut
22.11.1965;;80;Gut
23.11.1965;;80;Gut
24.11.1965;;80;Gut
25.11.1965;;78;Gut
26.11.1965;;78;Gut
27.11.1965;;78;Gut
28.11.1965;;84;Gut
29.11.1965;;88;Gut
30.11.1965;;90;Gut
01.12.1965;;94;Gut
02.12.1965;;98;Gut
03.12.1965;;94;Gut
04.12.1965;;94;Gut
05.12.1965;;94;Gut
06.12.1965;;94;Gut
07.12.1965;;94;Gut
08.12.1965;;94;Gut
09.12.1965;;98;Gut
10.12.1965;;96;Gut
11.12.1965;;96;Gut
12.12.1965;;94;Gut
13.12.1965;;94;Gut
14.12.1965;;94;Gut
15.12.1965;;94;Gut
16.12.1965;;90;Gut
17.12.1965;;90;Gut
18.12.1965;;90;Gut
19.12.1965;;88;Gut
20.12.1965;;94;Gut
21.12.1965;;94;Gut
22.12.1965;;94;Gut
23.12.1965;;94;Gut
24.12.1965;;94;Gut
25.12.1965;;94;Gut
26.12.1965;;94;Gut
27.12.1965;;92;Gut
28.12.1965;;94;Gut
29.12.1965;;94;Gut
30.12.1965;;94;Gut
31.12.1965;;94;Gut
01.01.1966;;94;Gut
02.01.1966;;92;Gut
03.01.1966;;92;Gut
04.01.1966;;92;Gut
05.01.1966;;92;Gut
06.01.1966;;94;Gut
07.01.1966;;94;Gut
08.01.1966;;96;Gut
09.01.1966;;96;Gut
10.01.1966;;94;Gut
11.01.1966;;92;Gut
12.01.1966;;92;Gut
13.01.1966;;88;Gut
14.01.1966;;86;Gut
15.01.1966;;82;Gut
16.01.1966;;82;Gut
17.01.1966;;79;Gut
18.01.1966;;79;Gut
19.01.1966;;79;Gut
20.01.1966;;79;Gut
21.01.1966;;80;Gut
22.01.1966;;82;Gut
23.01.1966;;82;Gut
24.01.1966;;82;Gut
25.01.1966;;84;Gut
26.01.1966;;86;Gut
27.01.1966;;86;Gut
28.01.1966;;88;Gut
29.01.1966;;88;Gut
30.01.1966;;88;Gut
31.01.1966;;88;Gut
01.02.1966;;96;Gut
02.02.1966;;98;Gut
03.02.1966;;96;Gut
04.02.1966;;96;Gut
05.02.1966;;100;Gut
06.02.1966;;106;Gut
07.02.1966;;108;Gut
08.02.1966;;114;Gut
09.02.1966;;112;Gut
10.02.1966;;108;Gut
11.02.1966;;106;Gut
12.02.1966;;106;Gut
13.02.1966;;106;Gut
14.02.1966;;102;Gut
15.02.1966;;94;Gut
16.02.1966;;92;Gut
17.02.1966;;92;Gut
18.02.1966;;94;Gut
19.02.1966;;96;Gut
20.02.1966;;98;Gut
21.02.1966;;106;Gut
22.02.1966;;108;Gut
23.02.1966;;106;Gut
24.02.1966;;110;Gut
25.02.1966;;112;Gut
26.02.1966;;112;Gut
27.02.1966;;110;Gut
28.02.1966;;110;Gut
01.03.1966;;108;Gut
02.03.1966;;108;Gut
03.03.1966;;108;Gut
04.03.1966;;106;Gut
05.03.1966;;106;Gut
06.03.1966;;106;Gut
07.03.1966;;104;Gut
08.03.1966;;100;Gut
09.03.1966;;100;Gut
10.03.1966;;100;Gut
11.03.1966;;100;Gut
12.03.1966;;98;Gut
13.03.1966;;98;Gut
14.03.1966;;96;Gut
15.03.1966;;96;Gut
16.03.1966;;96;Gut
17.03.1966;;96;Gut
18.03.1966;;96;Gut
19.03.1966;;96;Gut
20.03.1966;;94;Gut
21.03.1966;;94;Gut
22.03.1966;;92;Gut
23.03.1966;;90;Gut
24.03.1966;;92;Gut
25.03.1966;;96;Gut
26.03.1966;;96;Gut
27.03.1966;;96;Gut
28.03.1966;;96;Gut
29.03.1966;;96;Gut
30.03.1966;;96;Gut
31.03.1966;;96;Gut
01.04.1966;;96;Gut
02.04.1966;;96;Gut
03.04.1966;;96;Gut
04.04.1966;;96;Gut
05.04.1966;;96;Gut
06.04.1966;;96;Gut
07.04.1966;;96;Gut
08.04.1966;;96;Gut
09.04.1966;;96;Gut
10.04.1966;;96;Gut
11.04.1966;;96;Gut
12.04.1966;;94;Gut
13.04.1966;;94;Gut
14.04.1966;;94;Gut
15.04.1966;;94;Gut
16.04.1966;;96;Gut
17.04.1966;;96;Gut
18.04.1966;;96;Gut
19.04.1966;;96;Gut
20.04.1966;;96;Gut
21.04.1966;;96;Gut
22.04.1966;;96;Gut
23.04.1966;;96;Gut
24.04.1966;;96;Gut
25.04.1966;;96;Gut
26.04.1966;;98;Gut
27.04.1966;;98;Gut
28.04.1966;;98;Gut
29.04.1966;;98;Gut
30.04.1966;;94;Gut
01.05.1966;;94;Gut
02.05.1966;;92;Gut
03.05.1966;;92;Gut
04.05.1966;;88;Gut
05.05.1966;;86;Gut
06.05.1966;;88;Gut
07.05.1966;;86;Gut
08.05.1966;;86;Gut
09.05.1966;;86;Gut
10.05.1966;;86;Gut
11.05.1966;;82;Gut
12.05.1966;;80;Gut
13.05.1966;;80;Gut
14.05.1966;;80;Gut
15.05.1966;;80;Gut
16.05.1966;;80;Gut
17.05.1966;;80;Gut
18.05.1966;;80;Gut
19.05.1966;;78;Gut
20.05.1966;;78;Gut
21.05.1966;;78;Gut
22.05.1966;;78;Gut
23.05.1966;;76;Gut
24.05.1966;;76;Gut
25.05.1966;;76;Gut
26.05.1966;;76;Gut
27.05.1966;;78;Gut
28.05.1966;;82;Gut
29.05.1966;;84;Gut
30.05.1966;;86;Gut
31.05.1966;;84;Gut
