Betreiber: LfU_mittlereSpree
Pegelkennziffer (PKZ): 5823800
Messstellenname: Lübben, Zusammenfluss
Gewaessername: Spree
Abstand zur Muendung: 
AEo [qkm]:
Pegelnullpunkt: 44,556  DHHN2016 
ETRS 89_3_Ost: 424368
ETRS 89_3_Nord: 5757151
Geografische Laenge:  13,899271
Geografische Breite:  51,959905
Parameter: W [cm]
Datum;Uhrzeit;Wert [cm];Qualität
01.11.1970;;294;Gut
02.11.1970;;288;Gut
03.11.1970;;295;Gut
04.11.1970;;314;Gut
05.11.1970;;322;Gut
06.11.1970;;328;Gut
07.11.1970;;326;Gut
08.11.1970;;323;Gut
09.11.1970;;325;Gut
10.11.1970;;328;Gut
11.11.1970;;333;Gut
12.11.1970;;336;Gut
13.11.1970;;334;Gut
14.11.1970;;330;Gut
15.11.1970;;331;Gut
16.11.1970;;330;Gut
17.11.1970;;329;Gut
18.11.1970;;321;Gut
19.11.1970;;320;Gut
20.11.1970;;317;Gut
21.11.1970;;316;Gut
22.11.1970;;318;Gut
23.11.1970;;330;Gut
24.11.1970;;341;Gut
25.11.1970;;343;Gut
26.11.1970;;342;Gut
27.11.1970;;340;Gut
28.11.1970;;340;Gut
29.11.1970;;340;Gut
30.11.1970;;339;Gut
01.12.1970;;340;Gut
02.12.1970;;340;Gut
03.12.1970;;338;Gut
04.12.1970;;338;Gut
05.12.1970;;341;Gut
06.12.1970;;346;Gut
07.12.1970;;346;Gut
08.12.1970;;344;Gut
09.12.1970;;342;Gut
10.12.1970;;340;Gut
11.12.1970;;331;Gut
12.12.1970;;324;Gut
13.12.1970;;323;Gut
14.12.1970;;320;Gut
15.12.1970;;317;Gut
16.12.1970;;325;Gut
17.12.1970;;319;Gut
18.12.1970;;315;Gut
19.12.1970;;313;Gut
20.12.1970;;309;Gut
21.12.1970;;313;Gut
22.12.1970;;314;Gut
23.12.1970;;312;Gut
24.12.1970;;311;Gut
25.12.1970;;309;Gut
26.12.1970;;308;Gut
27.12.1970;;307;Gut
28.12.1970;;301;Gut
29.12.1970;;297;Gut
30.12.1970;;304;Gut
31.12.1970;;308;Gut
01.01.1971;;303;Gut
02.01.1971;;302;Gut
03.01.1971;;313;Gut
04.01.1971;;329;Gut
05.01.1971;;325;Gut
06.01.1971;;316;Gut
07.01.1971;;309;Gut
08.01.1971;;305;Gut
09.01.1971;;301;Gut
10.01.1971;;298;Gut
11.01.1971;;287;Gut
12.01.1971;;282;Gut
13.01.1971;;280;Gut
14.01.1971;;276;Gut
15.01.1971;;273;Gut
16.01.1971;;274;Gut
17.01.1971;;281;Gut
18.01.1971;;291;Gut
19.01.1971;;297;Gut
20.01.1971;;298;Gut
21.01.1971;;309;Gut
22.01.1971;;319;Gut
23.01.1971;;324;Gut
24.01.1971;;333;Gut
25.01.1971;;351;Gut
26.01.1971;;359;Gut
27.01.1971;;365;Gut
28.01.1971;;371;Gut
29.01.1971;;376;Gut
30.01.1971;;380;Gut
31.01.1971;;378;Gut
01.02.1971;;369;Gut
02.02.1971;;358;Gut
03.02.1971;;346;Gut
04.02.1971;;345;Gut
05.02.1971;;344;Gut
06.02.1971;;345;Gut
07.02.1971;;346;Gut
08.02.1971;;344;Gut
09.02.1971;;340;Gut
10.02.1971;;328;Gut
11.02.1971;;324;Gut
12.02.1971;;321;Gut
13.02.1971;;319;Gut
14.02.1971;;322;Gut
15.02.1971;;319;Gut
16.02.1971;;314;Gut
17.02.1971;;305;Gut
18.02.1971;;304;Gut
19.02.1971;;300;Gut
20.02.1971;;285;Gut
21.02.1971;;278;Gut
22.02.1971;;274;Gut
23.02.1971;;273;Gut
24.02.1971;;281;Gut
25.02.1971;;283;Gut
26.02.1971;;284;Gut
27.02.1971;;282;Gut
28.02.1971;;274;Gut
01.03.1971;;277;Gut
02.03.1971;;281;Gut
03.03.1971;;284;Gut
04.03.1971;;282;Gut
05.03.1971;;287;Gut
06.03.1971;;292;Gut
07.03.1971;;292;Gut
08.03.1971;;288;Gut
09.03.1971;;287;Gut
10.03.1971;;293;Gut
11.03.1971;;301;Gut
12.03.1971;;301;Gut
13.03.1971;;305;Gut
14.03.1971;;320;Gut
15.03.1971;;330;Gut
16.03.1971;;330;Gut
17.03.1971;;332;Gut
18.03.1971;;335;Gut
19.03.1971;;338;Gut
20.03.1971;;340;Gut
21.03.1971;;339;Gut
22.03.1971;;339;Gut
23.03.1971;;340;Gut
24.03.1971;;337;Gut
25.03.1971;;330;Gut
26.03.1971;;318;Gut
27.03.1971;;314;Gut
28.03.1971;;312;Gut
29.03.1971;;310;Gut
30.03.1971;;304;Gut
31.03.1971;;303;Gut
01.04.1971;;307;Gut
02.04.1971;;309;Gut
03.04.1971;;308;Gut
04.04.1971;;307;Gut
05.04.1971;;302;Gut
06.04.1971;;305;Gut
07.04.1971;;332;Gut
08.04.1971;;332;Gut
09.04.1971;;323;Gut
10.04.1971;;313;Gut
11.04.1971;;310;Gut
12.04.1971;;310;Gut
13.04.1971;;307;Gut
14.04.1971;;304;Gut
15.04.1971;;277;Gut
16.04.1971;;277;Gut
17.04.1971;;269;Gut
18.04.1971;;273;Gut
19.04.1971;;282;Gut
20.04.1971;;294;Gut
21.04.1971;;294;Gut
22.04.1971;;293;Gut
23.04.1971;;289;Gut
24.04.1971;;285;Gut
25.04.1971;;289;Gut
26.04.1971;;296;Gut
27.04.1971;;297;Gut
28.04.1971;;302;Gut
29.04.1971;;300;Gut
30.04.1971;;296;Gut
01.05.1971;;294;Gut
02.05.1971;;292;Gut
03.05.1971;;289;Gut
04.05.1971;;284;Gut
05.05.1971;;287;Gut
06.05.1971;;282;Gut
07.05.1971;;276;Gut
08.05.1971;;277;Gut
09.05.1971;;269;Gut
10.05.1971;;270;Gut
11.05.1971;;274;Gut
12.05.1971;;276;Gut
13.05.1971;;280;Gut
14.05.1971;;280;Gut
15.05.1971;;276;Gut
16.05.1971;;275;Gut
17.05.1971;;273;Gut
18.05.1971;;268;Gut
19.05.1971;;270;Gut
20.05.1971;;276;Gut
21.05.1971;;274;Gut
22.05.1971;;271;Gut
23.05.1971;;283;Gut
24.05.1971;;292;Gut
25.05.1971;;310;Gut
26.05.1971;;306;Gut
27.05.1971;;300;Gut
28.05.1971;;292;Gut
29.05.1971;;290;Gut
30.05.1971;;301;Gut
31.05.1971;;310;Gut
01.06.1971;;309;Gut
02.06.1971;;302;Gut
03.06.1971;;285;Gut
04.06.1971;;275;Gut
05.06.1971;;282;Gut
06.06.1971;;289;Gut
07.06.1971;;296;Gut
08.06.1971;;312;Gut
09.06.1971;;303;Gut
10.06.1971;;303;Gut
11.06.1971;;307;Gut
12.06.1971;;299;Gut
13.06.1971;;294;Gut
14.06.1971;;289;Gut
15.06.1971;;292;Gut
16.06.1971;;291;Gut
17.06.1971;;292;Gut
18.06.1971;;294;Gut
19.06.1971;;294;Gut
20.06.1971;;294;Gut
21.06.1971;;296;Gut
22.06.1971;;302;Gut
23.06.1971;;304;Gut
24.06.1971;;301;Gut
25.06.1971;;290;Gut
26.06.1971;;290;Gut
27.06.1971;;295;Gut
28.06.1971;;301;Gut
29.06.1971;;296;Gut
30.06.1971;;316;Gut
01.07.1971;;334;Gut
02.07.1971;;339;Gut
03.07.1971;;337;Gut
04.07.1971;;333;Gut
05.07.1971;;323;Gut
06.07.1971;;314;Gut
07.07.1971;;303;Gut
08.07.1971;;308;Gut
09.07.1971;;295;Gut
10.07.1971;;276;Gut
11.07.1971;;270;Gut
12.07.1971;;266;Gut
13.07.1971;;269;Gut
14.07.1971;;285;Gut
15.07.1971;;286;Gut
16.07.1971;;282;Gut
17.07.1971;;283;Gut
18.07.1971;;281;Gut
19.07.1971;;278;Gut
20.07.1971;;274;Gut
21.07.1971;;275;Gut
22.07.1971;;277;Gut
23.07.1971;;274;Gut
24.07.1971;;273;Gut
25.07.1971;;276;Gut
26.07.1971;;278;Gut
27.07.1971;;276;Gut
28.07.1971;;269;Gut
29.07.1971;;265;Gut
30.07.1971;;273;Gut
31.07.1971;;274;Gut
01.08.1971;;274;Gut
02.08.1971;;270;Gut
03.08.1971;;265;Gut
04.08.1971;;265;Gut
05.08.1971;;264;Gut
06.08.1971;;266;Gut
07.08.1971;;267;Gut
08.08.1971;;264;Gut
09.08.1971;;262;Gut
10.08.1971;;262;Gut
11.08.1971;;264;Gut
12.08.1971;;262;Gut
13.08.1971;;263;Gut
14.08.1971;;264;Gut
15.08.1971;;264;Gut
16.08.1971;;264;Gut
17.08.1971;;267;Gut
18.08.1971;;271;Gut
19.08.1971;;269;Gut
20.08.1971;;267;Gut
21.08.1971;;264;Gut
22.08.1971;;264;Gut
23.08.1971;;266;Gut
24.08.1971;;269;Gut
25.08.1971;;269;Gut
26.08.1971;;267;Gut
27.08.1971;;267;Gut
28.08.1971;;271;Gut
29.08.1971;;273;Gut
30.08.1971;;273;Gut
31.08.1971;;273;Gut
01.09.1971;;275;Gut
02.09.1971;;273;Gut
03.09.1971;;271;Gut
04.09.1971;;270;Gut
05.09.1971;;271;Gut
06.09.1971;;271;Gut
07.09.1971;;273;Gut
08.09.1971;;272;Gut
09.09.1971;;271;Gut
10.09.1971;;274;Gut
11.09.1971;;281;Gut
12.09.1971;;282;Gut
13.09.1971;;277;Gut
14.09.1971;;272;Gut
15.09.1971;;269;Gut
16.09.1971;;273;Gut
17.09.1971;;273;Gut
18.09.1971;;275;Gut
19.09.1971;;279;Gut
20.09.1971;;283;Gut
21.09.1971;;280;Gut
22.09.1971;;277;Gut
23.09.1971;;276;Gut
24.09.1971;;275;Gut
25.09.1971;;275;Gut
26.09.1971;;275;Gut
27.09.1971;;279;Gut
28.09.1971;;278;Gut
29.09.1971;;281;Gut
30.09.1971;;293;Gut
01.10.1971;;296;Gut
02.10.1971;;286;Gut
03.10.1971;;286;Gut
04.10.1971;;284;Gut
05.10.1971;;284;Gut
06.10.1971;;281;Gut
07.10.1971;;278;Gut
08.10.1971;;279;Gut
09.10.1971;;280;Gut
10.10.1971;;285;Gut
11.10.1971;;283;Gut
12.10.1971;;282;Gut
13.10.1971;;281;Gut
14.10.1971;;294;Gut
15.10.1971;;304;Gut
16.10.1971;;299;Gut
17.10.1971;;279;Gut
18.10.1971;;281;Gut
19.10.1971;;281;Gut
20.10.1971;;284;Gut
21.10.1971;;285;Gut
22.10.1971;;294;Gut
23.10.1971;;290;Gut
24.10.1971;;287;Gut
25.10.1971;;286;Gut
26.10.1971;;279;Gut
27.10.1971;;278;Gut
28.10.1971;;280;Gut
29.10.1971;;286;Gut
30.10.1971;;288;Gut
31.10.1971;;288;Gut
01.11.1971;;289;Gut
02.11.1971;;287;Gut
03.11.1971;;282;Gut
04.11.1971;;280;Gut
05.11.1971;;281;Gut
06.11.1971;;282;Gut
07.11.1971;;281;Gut
08.11.1971;;283;Gut
09.11.1971;;281;Gut
10.11.1971;;281;Gut
11.11.1971;;283;Gut
12.11.1971;;283;Gut
13.11.1971;;280;Gut
14.11.1971;;276;Gut
15.11.1971;;274;Gut
16.11.1971;;283;Gut
17.11.1971;;290;Gut
18.11.1971;;294;Gut
19.11.1971;;300;Gut
20.11.1971;;298;Gut
21.11.1971;;296;Gut
22.11.1971;;287;Gut
23.11.1971;;276;Gut
24.11.1971;;272;Gut
25.11.1971;;273;Gut
26.11.1971;;274;Gut
27.11.1971;;287;Gut
28.11.1971;;297;Gut
29.11.1971;;294;Gut
30.11.1971;;287;Gut
01.12.1971;;282;Gut
02.12.1971;;281;Gut
03.12.1971;;281;Gut
04.12.1971;;279;Gut
05.12.1971;;277;Gut
06.12.1971;;283;Gut
07.12.1971;;283;Gut
08.12.1971;;285;Gut
09.12.1971;;289;Gut
10.12.1971;;290;Gut
11.12.1971;;297;Gut
12.12.1971;;312;Gut
13.12.1971;;330;Gut
14.12.1971;;335;Gut
15.12.1971;;330;Gut
16.12.1971;;326;Gut
17.12.1971;;321;Gut
18.12.1971;;316;Gut
19.12.1971;;313;Gut
20.12.1971;;314;Gut
21.12.1971;;320;Gut
22.12.1971;;322;Gut
23.12.1971;;328;Gut
24.12.1971;;339;Gut
25.12.1971;;341;Gut
26.12.1971;;345;Gut
27.12.1971;;343;Gut
28.12.1971;;337;Gut
29.12.1971;;324;Gut
30.12.1971;;319;Gut
31.12.1971;;323;Gut
01.01.1972;;325;Gut
02.01.1972;;332;Gut
03.01.1972;;335;Gut
04.01.1972;;335;Gut
05.01.1972;;334;Gut
06.01.1972;;334;Gut
07.01.1972;;332;Gut
08.01.1972;;333;Gut
09.01.1972;;335;Gut
10.01.1972;;338;Gut
11.01.1972;;334;Gut
12.01.1972;;329;Gut
13.01.1972;;309;Gut
14.01.1972;;301;Gut
15.01.1972;;345;Gut
16.01.1972;;338;Gut
17.01.1972;;337;Gut
18.01.1972;;331;Gut
19.01.1972;;325;Gut
20.01.1972;;332;Gut
21.01.1972;;329;Gut
22.01.1972;;325;Gut
23.01.1972;;312;Gut
24.01.1972;;293;Gut
25.01.1972;;280;Gut
26.01.1972;;280;Gut
27.01.1972;;280;Gut
28.01.1972;;277;Gut
29.01.1972;;273;Gut
30.01.1972;;274;Gut
31.01.1972;;282;Gut
01.02.1972;;290;Gut
02.02.1972;;280;Gut
03.02.1972;;271;Gut
04.02.1972;;276;Gut
05.02.1972;;275;Gut
06.02.1972;;277;Gut
07.02.1972;;280;Gut
08.02.1972;;279;Gut
09.02.1972;;283;Gut
10.02.1972;;289;Gut
11.02.1972;;293;Gut
12.02.1972;;294;Gut
13.02.1972;;288;Gut
14.02.1972;;280;Gut
15.02.1972;;277;Gut
16.02.1972;;278;Gut
17.02.1972;;285;Gut
18.02.1972;;287;Gut
19.02.1972;;283;Gut
20.02.1972;;288;Gut
21.02.1972;;294;Gut
22.02.1972;;291;Gut
23.02.1972;;290;Gut
24.02.1972;;292;Gut
25.02.1972;;298;Gut
26.02.1972;;302;Gut
27.02.1972;;299;Gut
28.02.1972;;296;Gut
29.02.1972;;288;Gut
01.03.1972;;280;Gut
02.03.1972;;280;Gut
03.03.1972;;280;Gut
04.03.1972;;281;Gut
05.03.1972;;282;Gut
06.03.1972;;279;Gut
07.03.1972;;276;Gut
08.03.1972;;276;Gut
09.03.1972;;279;Gut
10.03.1972;;283;Gut
11.03.1972;;293;Gut
12.03.1972;;309;Gut
13.03.1972;;313;Gut
14.03.1972;;307;Gut
15.03.1972;;295;Gut
16.03.1972;;299;Gut
17.03.1972;;293;Gut
18.03.1972;;291;Gut
19.03.1972;;287;Gut
20.03.1972;;279;Gut
21.03.1972;;279;Gut
22.03.1972;;269;Gut
23.03.1972;;260;Gut
24.03.1972;;257;Gut
25.03.1972;;256;Gut
26.03.1972;;255;Gut
27.03.1972;;268;Gut
28.03.1972;;290;Gut
29.03.1972;;291;Gut
30.03.1972;;292;Gut
31.03.1972;;293;Gut
01.04.1972;;297;Gut
02.04.1972;;303;Gut
03.04.1972;;308;Gut
04.04.1972;;315;Gut
05.04.1972;;324;Gut
06.04.1972;;316;Gut
07.04.1972;;315;Gut
08.04.1972;;317;Gut
09.04.1972;;313;Gut
10.04.1972;;309;Gut
11.04.1972;;304;Gut
12.04.1972;;301;Gut
13.04.1972;;300;Gut
14.04.1972;;298;Gut
15.04.1972;;297;Gut
16.04.1972;;295;Gut
17.04.1972;;295;Gut
18.04.1972;;300;Gut
19.04.1972;;294;Gut
20.04.1972;;295;Gut
21.04.1972;;295;Gut
22.04.1972;;292;Gut
23.04.1972;;290;Gut
24.04.1972;;285;Gut
25.04.1972;;284;Gut
26.04.1972;;288;Gut
27.04.1972;;291;Gut
28.04.1972;;291;Gut
29.04.1972;;290;Gut
30.04.1972;;285;Gut
01.05.1972;;277;Gut
02.05.1972;;281;Gut
03.05.1972;;277;Gut
04.05.1972;;281;Gut
05.05.1972;;280;Gut
06.05.1972;;281;Gut
07.05.1972;;279;Gut
08.05.1972;;278;Gut
09.05.1972;;276;Gut
10.05.1972;;276;Gut
11.05.1972;;283;Gut
12.05.1972;;289;Gut
13.05.1972;;289;Gut
14.05.1972;;289;Gut
15.05.1972;;287;Gut
16.05.1972;;291;Gut
17.05.1972;;296;Gut
18.05.1972;;303;Gut
19.05.1972;;303;Gut
20.05.1972;;325;Gut
21.05.1972;;368;Gut
22.05.1972;;376;Gut
23.05.1972;;380;Gut
24.05.1972;;389;Gut
25.05.1972;;397;Gut
26.05.1972;;400;Gut
27.05.1972;;401;Gut
28.05.1972;;401;Gut
29.05.1972;;401;Gut
30.05.1972;;399;Gut
31.05.1972;;394;Gut
01.06.1972;;383;Gut
02.06.1972;;358;Gut
03.06.1972;;333;Gut
04.06.1972;;319;Gut
05.06.1972;;306;Gut
06.06.1972;;288;Gut
07.06.1972;;291;Gut
08.06.1972;;307;Gut
09.06.1972;;298;Gut
10.06.1972;;288;Gut
11.06.1972;;287;Gut
12.06.1972;;293;Gut
13.06.1972;;318;Gut
14.06.1972;;330;Gut
15.06.1972;;318;Gut
16.06.1972;;303;Gut
17.06.1972;;298;Gut
18.06.1972;;293;Gut
19.06.1972;;291;Gut
20.06.1972;;291;Gut
21.06.1972;;290;Gut
22.06.1972;;291;Gut
23.06.1972;;291;Gut
24.06.1972;;290;Gut
25.06.1972;;296;Gut
26.06.1972;;295;Gut
27.06.1972;;289;Gut
28.06.1972;;286;Gut
29.06.1972;;284;Gut
30.06.1972;;283;Gut
01.07.1972;;286;Gut
02.07.1972;;288;Gut
03.07.1972;;288;Gut
04.07.1972;;284;Gut
05.07.1972;;282;Gut
06.07.1972;;281;Gut
07.07.1972;;278;Gut
08.07.1972;;273;Gut
09.07.1972;;273;Gut
10.07.1972;;278;Gut
11.07.1972;;285;Gut
12.07.1972;;286;Gut
13.07.1972;;285;Gut
14.07.1972;;283;Gut
15.07.1972;;275;Gut
16.07.1972;;278;Gut
17.07.1972;;276;Gut
18.07.1972;;270;Gut
19.07.1972;;270;Gut
20.07.1972;;274;Gut
21.07.1972;;274;Gut
22.07.1972;;274;Gut
23.07.1972;;276;Gut
24.07.1972;;290;Gut
25.07.1972;;285;Gut
26.07.1972;;286;Gut
27.07.1972;;280;Gut
28.07.1972;;278;Gut
29.07.1972;;285;Gut
30.07.1972;;286;Gut
31.07.1972;;289;Gut
01.08.1972;;289;Gut
02.08.1972;;287;Gut
03.08.1972;;282;Gut
04.08.1972;;282;Gut
05.08.1972;;280;Gut
06.08.1972;;281;Gut
07.08.1972;;281;Gut
08.08.1972;;275;Gut
09.08.1972;;274;Gut
10.08.1972;;274;Gut
11.08.1972;;277;Gut
12.08.1972;;290;Gut
13.08.1972;;291;Gut
14.08.1972;;289;Gut
