timestamp,value
19591201000000,18.4
19591202000000,18.2
19591203000000,15.2
19591204000000,14.7
19591205000000,14.1
19591206000000,14.5
19591207000000,14.3
19591208000000,14.6
19591209000000,13.5
19591210000000,13.6
19591211000000,12.6
19591212000000,12.4
19591213000000,13.0
19591214000000,12.9
19591215000000,13.8
19591216000000,13.6
19591217000000,13.5
19591218000000,14.2
19591219000000,13.7
19591220000000,13.3
19591221000000,13.6
19591222000000,13.6
19591223000000,9.89
19591224000000,19.8
19591225000000,18.6
19591226000000,19.3
19591227000000,18.2
19591228000000,18.5
19591229000000,18.8
19591230000000,20.9
19591231000000,21.6
19600101000000,22.3
19600102000000,23.7
19600103000000,24.6
19600104000000,24.2
19600105000000,24.6
19600106000000,24.4
19600107000000,23.7
19600108000000,23.6
19600109000000,23.4
19600110000000,24.3
19600111000000,24.0
19600112000000,24.8
19600113000000,24.7
19600114000000,18.1
19600115000000,14.5
19600116000000,14.6
19600117000000,16.8
19600118000000,20.7
19600119000000,22.7
19600120000000,22.3
19600121000000,21.7
19600122000000,23.7
19600123000000,24.0
19600124000000,25.2
19600125000000,26.9
19600126000000,29.3
19600127000000,29.0
19600128000000,28.8
19600129000000,27.6
19600130000000,27.8
19600131000000,26.6
19600201000000,-777.0
19600202000000,-777.0
19600203000000,-777.0
19600204000000,-777.0
19600205000000,-777.0
19600206000000,-777.0
19600207000000,-777.0
19600208000000,-777.0
19600209000000,-777.0
19600210000000,-777.0
19600211000000,-777.0
19600212000000,-777.0
19600213000000,-777.0
19600214000000,-777.0
19600215000000,-777.0
19600216000000,-777.0
19600217000000,-777.0
19600218000000,-777.0
19600219000000,-777.0
19600220000000,-777.0
19600221000000,-777.0
19600222000000,-777.0
19600223000000,-777.0
19600224000000,-777.0
19600225000000,-777.0
19600226000000,-777.0
19600227000000,-777.0
19600228000000,-777.0
19600229000000,-777.0
19600301000000,22.0
19600302000000,26.9
19600303000000,26.8
19600304000000,27.0
19600305000000,29.9
19600306000000,29.9
19600307000000,29.3
19600308000000,26.6
19600309000000,28.8
19600310000000,28.1
19600311000000,28.6
19600312000000,28.5
19600313000000,27.8
19600314000000,27.1
19600315000000,27.0
19600316000000,27.4
19600317000000,27.0
19600318000000,22.9
19600319000000,22.9
19600320000000,22.4
19600321000000,21.7
19600322000000,23.4
19600323000000,24.6
19600324000000,24.4
19600325000000,23.4
19600326000000,25.2
19600327000000,23.6
19600328000000,23.5
19600329000000,23.1
19600330000000,24.6
19600331000000,24.4
19600401000000,23.9
19600402000000,25.2
19600403000000,25.1
19600404000000,24.6
19600405000000,24.7
19600406000000,18.8
19600407000000,20.0
19600408000000,19.5
19600409000000,18.8
19600410000000,20.7
19600411000000,20.2
19600412000000,20.4
19600413000000,20.9
19600414000000,20.6
19600415000000,20.9
19600416000000,22.3
19600417000000,21.2
19600418000000,24.2
19600419000000,23.6
19600420000000,21.5
19600421000000,22.8
19600422000000,21.9
19600423000000,22.3
19600424000000,20.0
19600425000000,20.4
19600426000000,20.3
19600427000000,21.3
19600428000000,21.0
19600429000000,15.5
19600430000000,13.3
19600501000000,13.7
19600502000000,14.0
19600503000000,14.4
19600504000000,18.0
19600505000000,17.8
19600506000000,17.4
19600507000000,16.7
19600508000000,17.2
19600509000000,16.8
19600510000000,13.4
19600511000000,13.9
19600512000000,13.8
19600513000000,13.4
19600514000000,13.5
19600515000000,13.4
19600516000000,13.0
19600517000000,13.4
19600518000000,13.4
19600519000000,13.8
19600520000000,14.1
19600521000000,14.6
19600522000000,13.5
19600523000000,13.1
19600524000000,11.7
19600525000000,11.0
19600526000000,12.1
19600527000000,12.0
19600528000000,12.4
19600529000000,11.8
19600530000000,10.4
19600531000000,11.2
19600601000000,11.1
19600602000000,11.5
19600603000000,9.88
19600604000000,11.1
19600605000000,11.5
19600606000000,10.4
19600607000000,12.1
19600608000000,12.0
19600609000000,11.9
19600610000000,7.61
19600611000000,7.08
19600612000000,6.87
19600613000000,5.33
19600614000000,3.96
19600615000000,5.16
19600616000000,5.71
19600617000000,11.7
19600618000000,12.4
19600619000000,15.4
19600620000000,17.5
19600621000000,16.8
19600622000000,15.0
19600623000000,11.4
19600624000000,10.2
19600625000000,10.1
19600626000000,10.5
19600627000000,10.5
19600628000000,9.93
19600629000000,11.2
19600630000000,10.4
19600701000000,10.5
19600702000000,10.3
19600703000000,6.34
19600704000000,6.16
19600705000000,8.73
19600706000000,8.44
19600707000000,9.98
19600708000000,10.3
19600709000000,9.11
19600710000000,9.23
19600711000000,10.3
19600712000000,12.6
19600713000000,12.6
19600714000000,12.2
19600715000000,10.9
19600716000000,9.03
19600717000000,10.1
19600718000000,11.8
19600719000000,13.6
19600720000000,13.4
19600721000000,13.6
19600722000000,12.9
19600723000000,12.9
19600724000000,10.4
19600725000000,10.6
19600726000000,11.1
19600727000000,11.5
19600728000000,11.9
19600729000000,13.1
19600730000000,14.0
19600731000000,13.5
19600801000000,7.78
19600802000000,10.4
19600803000000,11.0
19600804000000,11.1
19600805000000,10.6
19600806000000,10.2
19600807000000,8.90
19600808000000,8.31
19600809000000,8.78
19600810000000,8.73
19600811000000,9.37
19600812000000,9.33
19600813000000,9.58
19600814000000,8.96
19600815000000,9.19
19600816000000,9.16
19600817000000,8.95
19600818000000,9.47
19600819000000,9.39
19600820000000,8.99
19600821000000,9.31
19600822000000,9.34
19600823000000,9.60
19600824000000,9.60
19600825000000,11.0
19600826000000,16.8
19600827000000,16.4
19600828000000,15.2
19600829000000,15.6
19600830000000,14.6
19600831000000,11.9
19600901000000,7.42
19600902000000,9.56
19600903000000,9.21
19600904000000,9.81
19600905000000,9.37
19600906000000,9.32
19600907000000,9.27
19600908000000,9.42
19600909000000,9.60
19600910000000,9.75
19600911000000,10.6
19600912000000,14.2
19600913000000,17.4
19600914000000,17.9
19600915000000,12.9
19600916000000,12.7
19600917000000,12.8
19600918000000,8.46
19600919000000,9.39
19600920000000,10.2
19600921000000,10.5
19600922000000,10.5
19600923000000,10.6
19600924000000,9.97
19600925000000,10.3
19600926000000,10.1
19600927000000,10.4
19600928000000,10.2
19600929000000,10.4
19600930000000,10.9
19601001000000,10.6
19601002000000,11.2
19601003000000,14.9
19601004000000,15.6
19601005000000,16.1
19601006000000,15.7
19601007000000,15.7
19601008000000,15.7
19601009000000,15.7
19601010000000,16.1
19601011000000,19.8
19601012000000,19.1
19601013000000,22.5
19601014000000,26.6
19601015000000,23.9
19601016000000,22.5
19601017000000,23.7
19601018000000,19.2
19601019000000,21.5
19601020000000,20.0
19601021000000,20.6
19601022000000,19.8
19601023000000,19.1
19601024000000,19.1
19601025000000,19.8
19601026000000,19.9
19601027000000,20.3
19601028000000,21.7
19601029000000,23.3
19601030000000,22.0
19601031000000,21.3
19601101000000,22.6
19601102000000,22.1
19601103000000,21.0
19601104000000,21.3
19601105000000,21.1
19601106000000,22.5
19601107000000,22.0
19601108000000,22.2
19601109000000,23.2
