timestamp,value
20051101000000,0.010
20051102000000,0.010
20051103000000,0.010
20051104000000,0.010
20051105000000,0.010
20051106000000,0.010
20051107000000,0.010
20051108000000,0.010
20051109000000,0.010
20051110000000,0.010
20051111000000,0.010
20051112000000,0.010
20051113000000,0.010
20051114000000,0.010
20051115000000,0.010
20051116000000,0.010
20051117000000,0.015
20051118000000,0.010
20051119000000,0.010
20051120000000,0.010
20051121000000,0.010
20051122000000,0.010
20051123000000,0.010
20051124000000,0.010
20051125000000,0.010
20051126000000,0.010
20051127000000,0.010
20051128000000,0.010
20051129000000,0.010
20051130000000,0.010
20051201000000,0.010
20051202000000,0.010
20051203000000,0.010
20051204000000,0.010
20051205000000,0.010
20051206000000,0.010
20051207000000,0.010
20051208000000,0.010
20051209000000,0.010
20051210000000,0.010
20051211000000,0.010
20051212000000,0.010
20051213000000,0.010
20051214000000,0.010
20051215000000,0.010
20051216000000,0.010
20051217000000,0.015
20051218000000,0.010
20051219000000,0.010
20051220000000,0.010
20051221000000,0.010
20051222000000,0.010
20051223000000,0.010
20051224000000,0.010
20051225000000,0.010
20051226000000,0.010
20051227000000,0.010
20051228000000,0.010
20051229000000,0.010
20051230000000,0.010
20051231000000,0.010
20060101000000,0.010
20060102000000,0.010
20060103000000,0.010
20060104000000,0.010
20060105000000,0.010
20060106000000,0.010
20060107000000,0.010
20060108000000,0.010
20060109000000,0.010
20060110000000,0.010
20060111000000,0.010
20060112000000,0.010
20060113000000,0.010
20060114000000,0.010
20060115000000,0.010
20060116000000,0.010
20060117000000,0.010
20060118000000,0.010
20060119000000,0.010
20060120000000,0.010
20060121000000,0.010
20060122000000,0.010
20060123000000,0.010
20060124000000,0.010
20060125000000,0.010
20060126000000,0.010
20060127000000,0.010
20060128000000,0.010
20060129000000,0.010
20060130000000,0.010
20060131000000,0.010
20060201000000,0.010
20060202000000,0.010
20060203000000,0.010
20060204000000,0.010
20060205000000,0.010
20060206000000,0.010
20060207000000,0.010
20060208000000,0.010
20060209000000,0.010
20060210000000,0.010
20060211000000,0.010
20060212000000,0.010
20060213000000,0.010
20060214000000,0.010
20060215000000,0.010
20060216000000,0.010
20060217000000,0.010
20060218000000,0.010
20060219000000,0.010
20060220000000,0.010
20060221000000,0.010
20060222000000,0.010
20060223000000,0.010
20060224000000,0.010
20060225000000,0.010
20060226000000,0.010
20060227000000,0.010
20060228000000,0.010
20060301000000,0.010
20060302000000,0.010
20060303000000,0.010
20060304000000,0.010
20060305000000,0.010
20060306000000,0.010
20060307000000,0.010
20060308000000,0.010
20060309000000,0.010
20060310000000,0.010
20060311000000,0.010
20060312000000,0.010
20060313000000,0.010
20060314000000,0.010
20060315000000,0.010
20060316000000,0.010
20060317000000,0.010
20060318000000,0.010
20060319000000,0.010
20060320000000,0.010
20060321000000,0.010
20060322000000,0.010
20060323000000,0.010
20060324000000,0.010
20060325000000,0.010
20060326000000,0.010
20060327000000,0.010
20060328000000,0.010
20060329000000,0.010
20060330000000,0.010
20060331000000,0.010
20060401000000,0.010
20060402000000,0.010
20060403000000,0.010
20060404000000,0.010
20060405000000,0.010
20060406000000,0.010
20060407000000,0.010
20060408000000,0.010
20060409000000,0.015
20060410000000,0.010
20060411000000,0.010
20060412000000,0.021
20060413000000,0.021
20060414000000,0.033
20060415000000,0.022
20060416000000,0.022
20060417000000,0.028
20060418000000,0.010
20060419000000,0.010
20060420000000,0.010
20060421000000,0.010
20060422000000,0.015
20060423000000,0.039
20060424000000,0.010
20060425000000,0.015
20060426000000,0.026
20060427000000,0.010
20060428000000,0.021
20060429000000,0.015
20060430000000,0.020
20060501000000,0.020
20060502000000,0.025
20060503000000,0.031
20060504000000,0.033
20060505000000,0.050
20060506000000,0.038
20060507000000,0.037
20060508000000,0.032
20060509000000,0.016
20060510000000,0.021
20060511000000,0.042
20060512000000,0.025
20060513000000,0.068
20060514000000,0.021
20060515000000,0.050
20060516000000,0.027
20060517000000,0.028
20060518000000,0.028
20060519000000,0.026
20060520000000,0.029
20060521000000,0.040
20060522000000,0.031
20060523000000,0.025
20060524000000,0.039
20060525000000,0.098
20060526000000,0.056
20060527000000,0.028
20060528000000,0.051
20060529000000,0.022
20060530000000,0.050
20060531000000,0.032
20060601000000,0.041
20060602000000,0.043
20060603000000,0.051
20060604000000,0.093
20060605000000,0.122
20060606000000,0.040
20060607000000,0.027
20060608000000,0.063
20060609000000,0.053
20060610000000,0.070
20060611000000,0.087
20060612000000,0.055
20060613000000,0.035
20060614000000,0.048
20060615000000,0.041
20060616000000,0.039
20060617000000,0.091
20060618000000,0.052
20060619000000,0.052
20060620000000,0.049
20060621000000,0.051
20060622000000,0.046
20060623000000,0.082
20060624000000,0.096
20060625000000,0.084
20060626000000,0.037
20060627000000,0.031
20060628000000,0.027
20060629000000,0.066
20060630000000,0.100
20060701000000,0.100
20060702000000,0.128
20060703000000,0.070
20060704000000,0.084
20060705000000,0.064
20060706000000,0.079
20060707000000,0.060
20060708000000,0.097
20060709000000,0.106
20060710000000,0.154
20060711000000,0.155
20060712000000,0.111
20060713000000,0.058
20060714000000,0.058
20060715000000,0.042
20060716000000,0.113
20060717000000,0.041
20060718000000,0.049
20060719000000,0.058
20060720000000,0.050
20060721000000,0.026
20060722000000,0.098
20060723000000,0.058
20060724000000,0.042
20060725000000,0.050
20060726000000,0.034
20060727000000,0.051
20060728000000,0.035
20060729000000,0.043
20060730000000,0.060
20060731000000,0.044
20060801000000,0.044
20060802000000,0.094
20060803000000,0.018
20060804000000,0.027
20060805000000,0.019
20060806000000,0.027
20060807000000,0.027
20060808000000,0.044
20060809000000,0.035
20060810000000,0.034
20060811000000,0.041
20060812000000,0.018
20060813000000,0.025
20060814000000,0.052
20060815000000,0.023
20060816000000,0.085
20060817000000,0.076
20060818000000,0.055
20060819000000,0.094
20060820000000,0.058
20060821000000,0.024
20060822000000,0.034
20060823000000,0.043
20060824000000,0.050
20060825000000,0.055
20060826000000,0.036
20060827000000,0.049
20060828000000,0.044
20060829000000,0.015
20060830000000,0.021
20060831000000,0.033
20060901000000,0.063
20060902000000,0.062
20060903000000,0.038
