timestamp,value
19771101000000,0.420
19771102000000,0.490
19771103000000,0.570
19771104000000,0.420
19771105000000,0.750
19771106000000,0.640
19771107000000,0.480
19771108000000,0.670
19771109000000,0.650
19771110000000,0.540
19771111000000,0.530
19771112000000,0.490
19771113000000,0.530
19771114000000,0.460
19771115000000,0.390
19771116000000,0.480
19771117000000,0.510
19771118000000,0.360
19771119000000,0.510
19771120000000,0.560
19771121000000,0.300
19771122000000,0.460
19771123000000,0.560
19771124000000,0.480
19771125000000,0.370
19771126000000,0.600
19771127000000,0.450
19771128000000,0.420
19771129000000,0.390
19771130000000,0.400
19771201000000,0.570
19771202000000,0.470
19771203000000,0.520
19771204000000,0.430
19771205000000,0.470
19771206000000,0.450
19771207000000,0.640
19771208000000,0.360
19771209000000,0.530
19771210000000,0.710
19771211000000,0.410
19771212000000,0.460
19771213000000,0.570
19771214000000,0.490
19771215000000,0.550
19771216000000,0.400
19771217000000,0.670
19771218000000,0.600
19771219000000,0.570
19771220000000,0.720
19771221000000,0.500
19771222000000,0.380
19771223000000,0.360
19771224000000,0.250
19771225000000,0.170
19771226000000,0.280
19771227000000,0.340
19771228000000,0.500
19771229000000,0.420
19771230000000,0.530
19771231000000,0.240
19780101000000,0.380
19780102000000,0.230
19780103000000,0.400
19780104000000,0.410
19780105000000,0.500
19780106000000,0.430
19780107000000,0.660
19780108000000,0.610
19780109000000,0.280
19780110000000,0.260
19780111000000,0.350
19780112000000,0.410
19780113000000,0.250
19780114000000,0.420
19780115000000,0.520
19780116000000,0.420
19780117000000,0.390
19780118000000,0.420
19780119000000,0.590
19780120000000,0.370
19780121000000,0.380
19780122000000,0.470
19780123000000,0.400
19780124000000,0.490
19780125000000,0.320
19780126000000,0.480
19780127000000,0.390
19780128000000,0.490
19780129000000,0.590
19780130000000,0.440
19780131000000,0.440
19780201000000,0.580
19780202000000,0.350
19780203000000,0.350
19780204000000,0.370
19780205000000,0.410
19780206000000,0.400
19780207000000,0.420
19780208000000,0.240
19780209000000,0.550
19780210000000,0.640
19780211000000,0.260
19780212000000,0.290
19780213000000,0.170
19780214000000,0.300
19780215000000,0.240
19780216000000,0.190
19780217000000,0.170
19780218000000,0.120
19780219000000,0.120
19780220000000,0.120
19780221000000,0.120
19780222000000,0.120
19780223000000,0.140
19780224000000,0.140
19780225000000,0.120
19780226000000,0.120
19780227000000,0.160
19780228000000,0.190
19780301000000,0.170
19780302000000,0.380
19780303000000,0.460
19780304000000,0.380
19780305000000,0.390
19780306000000,0.440
19780307000000,0.310
19780308000000,0.440
19780309000000,0.270
19780310000000,0.390
19780311000000,0.470
19780312000000,0.300
19780313000000,0.580
19780314000000,0.390
19780315000000,0.300
19780316000000,0.440
19780317000000,0.360
19780318000000,0.490
19780319000000,0.450
19780320000000,0.380
19780321000000,0.450
19780322000000,0.410
19780323000000,0.380
19780324000000,0.520
19780325000000,0.210
19780326000000,0.460
19780327000000,0.550
19780328000000,0.340
19780329000000,0.390
19780330000000,0.480
19780331000000,0.440
19780401000000,0.450
19780402000000,0.470
19780403000000,0.560
19780404000000,0.400
19780405000000,0.470
19780406000000,0.450
19780407000000,0.380
19780408000000,0.430
19780409000000,0.570
19780410000000,0.360
19780411000000,0.400
19780412000000,0.470
19780413000000,0.460
19780414000000,0.340
19780415000000,0.570
19780416000000,0.490
19780417000000,0.440
19780418000000,0.440
19780419000000,0.540
19780420000000,0.500
19780421000000,0.540
19780422000000,0.520
19780423000000,0.500
19780424000000,0.360
19780425000000,0.430
19780426000000,0.270
19780427000000,0.480
19780428000000,0.420
19780429000000,0.540
19780430000000,0.620
19780501000000,0.570
19780502000000,0.390
19780503000000,0.550
19780504000000,0.510
19780505000000,0.460
19780506000000,0.590
19780507000000,0.410
19780508000000,0.530
19780509000000,0.390
19780510000000,0.420
19780511000000,0.380
19780512000000,0.500
19780513000000,0.450
19780514000000,0.330
19780515000000,0.510
19780516000000,0.520
19780517000000,0.380
19780518000000,0.400
19780519000000,0.400
19780520000000,0.640
19780521000000,0.520
19780522000000,0.610
19780523000000,0.580
19780524000000,0.530
19780525000000,0.540
19780526000000,0.500
19780527000000,0.470
19780528000000,0.480
19780529000000,0.510
19780530000000,0.460
19780531000000,0.630
19780601000000,0.460
19780602000000,0.500
19780603000000,0.460
19780604000000,0.400
19780605000000,0.540
19780606000000,0.560
19780607000000,0.720
19780608000000,0.420
19780609000000,0.460
19780610000000,0.460
19780611000000,0.460
19780612000000,0.550
19780613000000,0.420
19780614000000,0.480
19780615000000,0.540
19780616000000,0.460
19780617000000,0.460
19780618000000,0.580
19780619000000,0.540
19780620000000,0.410
19780621000000,0.620
19780622000000,0.540
19780623000000,0.470
19780624000000,0.510
19780625000000,0.430
19780626000000,0.550
19780627000000,0.400
19780628000000,0.390
19780629000000,0.650
19780630000000,0.490
19780701000000,0.500
19780702000000,0.570
19780703000000,0.340
19780704000000,0.630
19780705000000,0.440
19780706000000,0.490
19780707000000,0.410
19780708000000,0.530
19780709000000,0.380
19780710000000,0.380
19780711000000,0.530
19780712000000,0.490
19780713000000,0.410
19780714000000,0.450
19780715000000,0.560
19780716000000,0.600
19780717000000,0.490
19780718000000,0.620
19780719000000,0.420
19780720000000,0.570
19780721000000,0.630
19780722000000,0.650
19780723000000,0.510
19780724000000,0.370
19780725000000,0.390
19780726000000,0.440
19780727000000,0.570
19780728000000,0.470
19780729000000,0.780
19780730000000,0.650
19780731000000,0.460
19780801000000,0.510
19780802000000,0.570
19780803000000,0.510
19780804000000,0.550
19780805000000,0.560
19780806000000,0.540
19780807000000,0.620
19780808000000,0.390
19780809000000,0.400
19780810000000,0.450
19780811000000,0.450
19780812000000,0.400
19780813000000,0.480
19780814000000,0.520
19780815000000,0.490
19780816000000,0.490
19780817000000,0.490
19780818000000,0.510
19780819000000,0.650
19780820000000,0.540
19780821000000,0.400
19780822000000,0.580
19780823000000,0.370
19780824000000,0.580
19780825000000,0.560
19780826000000,0.640
19780827000000,0.450
19780828000000,0.530
19780829000000,0.460
19780830000000,0.400
19780831000000,0.400
19780901000000,0.490
19780902000000,0.570
19780903000000,0.380
19780904000000,0.440
19780905000000,0.450
19780906000000,0.520
19780907000000,0.430
19780908000000,0.370
19780909000000,0.560
19780910000000,0.630
19780911000000,0.370
19780912000000,0.470
19780913000000,0.540
19780914000000,0.460
19780915000000,0.480
19780916000000,0.460
19780917000000,0.510
19780918000000,0.550
19780919000000,0.490
19780920000000,0.400
19780921000000,0.590
19780922000000,0.640
19780923000000,0.410
19780924000000,0.450
19780925000000,0.440
19780926000000,0.510
19780927000000,0.540
19780928000000,0.540
19780929000000,0.420
19780930000000,0.380
19781001000000,0.470
19781002000000,0.560
19781003000000,0.420
19781004000000,0.470
19781005000000,0.390
19781006000000,0.610
19781007000000,0.620
19781008000000,0.340
19781009000000,0.380
19781010000000,0.390
19781011000000,0.500
19781012000000,0.390
19781013000000,0.410
19781014000000,0.410
19781015000000,0.500
19781016000000,0.410
19781017000000,0.480
19781018000000,0.380
19781019000000,0.360
19781020000000,0.400
19781021000000,0.360
19781022000000,0.280
19781023000000,0.460
19781024000000,0.500
19781025000000,0.400
19781026000000,0.430
19781027000000,0.400
19781028000000,0.400
19781029000000,0.380
19781030000000,0.430
19781031000000,0.460
19781101000000,0.360
19781102000000,0.490
19781103000000,0.340
19781104000000,0.480
19781105000000,0.410
19781106000000,0.480
19781107000000,0.410
19781108000000,0.370
19781109000000,0.460
19781110000000,0.300
19781111000000,0.370
19781112000000,0.490
19781113000000,0.440
