timestamp,value
19530601000000,88
19530602000000,85
19530603000000,90
19530604000000,84
19530605000000,95
19530606000000,94
19530607000000,100
19530608000000,94
19530609000000,92
19530610000000,98
19530611000000,100
19530612000000,100
19530613000000,94
19530614000000,98
19530615000000,94
19530616000000,94
19530617000000,100
19530618000000,92
19530619000000,92
19530620000000,94
19530621000000,92
19530622000000,100
19530623000000,92
19530624000000,92
19530625000000,94
19530626000000,88
19530627000000,88
19530628000000,86
19530629000000,92
19530630000000,92
19530701000000,100
19530702000000,92
19530703000000,96
19530704000000,92
19530705000000,92
19530706000000,94
19530707000000,94
19530708000000,92
19530709000000,80
19530710000000,78
19530711000000,76
19530712000000,76
19530713000000,92
19530714000000,86
19530715000000,78
19530716000000,92
19530717000000,84
19530718000000,90
19530719000000,80
19530720000000,92
19530721000000,98
19530722000000,100
19530723000000,100
19530724000000,94
19530725000000,90
19530726000000,96
19530727000000,88
19530728000000,92
19530729000000,92
19530730000000,102
19530731000000,100
19530801000000,90
19530802000000,96
19530803000000,96
19530804000000,92
19530805000000,94
19530806000000,98
19530807000000,88
19530808000000,99
19530809000000,100
19530810000000,92
19530811000000,98
19530812000000,90
19530813000000,93
19530814000000,94
19530815000000,98
19530816000000,80
19530817000000,80
19530818000000,70
19530819000000,64
19530820000000,58
19530821000000,62
19530822000000,80
19530823000000,80
19530824000000,102
19530825000000,106
19530826000000,102
19530827000000,82
19530828000000,100
19530829000000,100
19530830000000,102
19530831000000,102
19530901000000,90
19530902000000,89
19530903000000,88
19530904000000,87
19530905000000,86
19530906000000,85
19530907000000,84
19530908000000,83
19530909000000,82
19530910000000,88
19530911000000,100
19530912000000,102
19530913000000,106
19530914000000,86
19530915000000,100
19530916000000,98
19530917000000,98
19530918000000,100
19530919000000,102
19530920000000,104
19530921000000,88
19530922000000,98
19530923000000,98
19530924000000,93
19530925000000,88
19530926000000,100
19530927000000,96
19530928000000,100
19530929000000,88
19530930000000,97
19531001000000,100
19531002000000,96
19531003000000,98
19531004000000,100
19531005000000,96
19531006000000,96
19531007000000,96
19531008000000,100
19531009000000,96
19531010000000,102
19531011000000,100
19531012000000,92
19531013000000,96
19531014000000,96
19531015000000,100
19531016000000,98
19531017000000,92
19531018000000,91
19531019000000,90
19531020000000,90
19531021000000,98
19531022000000,100
19531023000000,98
19531024000000,98
19531025000000,96
19531026000000,94
19531027000000,96
19531028000000,94
19531029000000,98
19531030000000,98
19531031000000,98
19531101000000,98
19531102000000,98
19531103000000,102
19531104000000,96
19531105000000,94
19531106000000,94
19531107000000,96
19531108000000,100
19531109000000,98
19531110000000,98
19531111000000,98
19531112000000,98
19531113000000,96
19531114000000,96
19531115000000,94
19531116000000,94
19531117000000,104
19531118000000,98
19531119000000,90
19531120000000,104
19531121000000,104
19531122000000,98
19531123000000,100
19531124000000,104
19531125000000,100
19531126000000,100
19531127000000,102
19531128000000,96
19531129000000,100
19531130000000,98
19531201000000,92
19531202000000,94
19531203000000,100
19531204000000,98
19531205000000,96
19531206000000,96
19531207000000,96
19531208000000,96
19531209000000,96
19531210000000,100
19531211000000,106
19531212000000,98
19531213000000,96
19531214000000,96
19531215000000,98
19531216000000,104
19531217000000,96
19531218000000,96
19531219000000,96
19531220000000,96
19531221000000,96
19531222000000,94
19531223000000,96
