timestamp,value
19931101000000,0.168
19931102000000,0.217
19931103000000,0.225
19931104000000,0.200
19931105000000,0.233
19931106000000,0.423
19931107000000,0.611
19931108000000,0.578
19931109000000,0.798
19931110000000,1.03
19931111000000,1.03
19931112000000,0.920
19931113000000,0.952
19931114000000,0.910
19931115000000,0.452
19931116000000,0.232
19931117000000,0.248
19931118000000,0.216
19931119000000,0.232
19931120000000,0.217
19931121000000,0.491
19931122000000,0.617
19931123000000,0.600
19931124000000,0.633
19931125000000,0.648
19931126000000,0.680
19931127000000,0.616
19931128000000,0.335
19931129000000,0.184
19931130000000,0.248
19931201000000,0.264
19931202000000,0.248
19931203000000,0.232
19931204000000,0.184
19931205000000,0.456
19931206000000,0.675
19931207000000,0.578
19931208000000,0.846
19931209000000,0.972
19931210000000,1.46
19931211000000,1.62
19931212000000,1.58
19931213000000,1.54
19931214000000,1.59
19931215000000,1.56
19931216000000,1.08
19931217000000,0.215
19931218000000,0.168
19931219000000,0.200
19931220000000,0.231
19931221000000,0.739
19931222000000,0.962
19931223000000,0.930
19931224000000,0.898
19931225000000,0.898
19931226000000,0.898
19931227000000,0.946
19931228000000,0.895
19931229000000,0.920
19931230000000,0.920
19931231000000,0.920
19940101000000,0.888
19940102000000,0.919
19940103000000,0.919
19940104000000,0.999
19940105000000,0.941
19940106000000,0.743
19940107000000,0.584
19940108000000,0.584
19940109000000,0.568
19940110000000,0.664
19940111000000,0.584
19940112000000,0.616
19940113000000,0.600
19940114000000,0.695
19940115000000,0.568
19940116000000,0.843
19940117000000,0.930
19940118000000,0.898
19940119000000,0.898
19940120000000,0.868
19940121000000,0.920
19940122000000,0.951
19940123000000,0.888
19940124000000,0.940
19940125000000,0.919
19940126000000,0.993
19940127000000,0.984
19940128000000,0.937
19940129000000,0.908
19940130000000,0.940
19940131000000,0.987
19940201000000,0.956
19940202000000,0.972
19940203000000,0.914
19940204000000,0.947
19940205000000,0.963
19940206000000,0.888
19940207000000,0.984
19940208000000,0.511
19940209000000,0.231
19940210000000,0.231
19940211000000,0.199
19940212000000,0.232
19940213000000,0.257
19940214000000,0.184
19940215000000,0.249
19940216000000,0.249
19940217000000,0.168
19940218000000,0.200
19940219000000,0.184
19940220000000,0.168
19940221000000,0.168
19940222000000,0.168
19940223000000,0.168
19940224000000,0.168
19940225000000,0.168
19940226000000,0.168
19940227000000,0.168
19940228000000,0.168
19940301000000,0.168
19940302000000,0.168
19940303000000,0.588
19940304000000,0.808
19940305000000,0.888
19940306000000,0.888
19940307000000,0.999
19940308000000,0.984
19940309000000,0.999
19940310000000,0.952
19940311000000,0.894
19940312000000,0.512
19940313000000,0.216
19940314000000,0.695
19940315000000,0.956
19940316000000,0.988
19940317000000,0.988
19940318000000,0.924
19940319000000,1.52
19940320000000,1.88
19940321000000,2.30
19940322000000,2.56
19940323000000,2.15
19940324000000,0.985
19940325000000,0.970
19940326000000,0.984
19940327000000,1.01
19940328000000,0.996
19940329000000,0.981
19940330000000,1.04
19940331000000,0.934
19940401000000,0.934
19940402000000,0.949
19940403000000,0.964
19940404000000,0.934
19940405000000,0.938
19940406000000,0.989
19940407000000,0.999
19940408000000,0.939
19940409000000,0.975
19940410000000,0.909
19940411000000,0.954
19940412000000,0.953
19940413000000,1.02
19940414000000,0.943
19940415000000,1.41
19940416000000,1.61
19940417000000,1.64
19940418000000,1.63
19940419000000,1.56
19940420000000,1.14
19940421000000,0.468
19940422000000,0.287
19940423000000,0.297
19940424000000,0.259
19940425000000,0.235
19940426000000,0.923
19940427000000,1.34
19940428000000,1.32
19940429000000,1.26
19940430000000,1.07
19940501000000,0.230
19940502000000,0.278
19940503000000,0.309
19940504000000,0.279
19940505000000,0.821
19940506000000,1.03
19940507000000,1.08
19940508000000,1.09
19940509000000,1.03
19940510000000,1.00
19940511000000,1.01
19940512000000,1.18
19940513000000,0.584
19940514000000,0.421
19940515000000,0.326
19940516000000,0.184
19940517000000,0.341
19940518000000,0.295
19940519000000,0.216
19940520000000,1.30
19940521000000,1.79
19940522000000,1.74
19940523000000,1.72
19940524000000,1.73
19940525000000,1.72
19940526000000,1.18
19940527000000,0.423
19940528000000,0.424
19940529000000,0.320
19940530000000,0.260
19940531000000,0.538
19940601000000,0.772
19940602000000,0.740
19940603000000,0.813
19940604000000,0.649
19940605000000,0.666
19940606000000,0.692
19940607000000,0.910
19940608000000,0.993
19940609000000,0.936
19940610000000,0.990
19940611000000,0.621
19940612000000,0.396
19940613000000,0.267
19940614000000,0.377
19940615000000,0.393
19940616000000,0.279
19940617000000,0.326
19940618000000,0.423
19940619000000,0.409
19940620000000,0.821
19940621000000,0.996
19940622000000,0.597
19940623000000,0.280
19940624000000,0.346
19940625000000,0.440
19940626000000,0.423
19940627000000,0.248
19940628000000,0.592
19940629000000,0.664
19940630000000,0.648
19940701000000,0.778
19940702000000,0.576
19940703000000,0.557
19940704000000,0.313
19940705000000,0.265
19940706000000,0.346
19940707000000,0.362
19940708000000,0.294
19940709000000,1.07
19940710000000,1.23
19940711000000,1.11
19940712000000,0.573
19940713000000,0.409
19940714000000,0.329
19940715000000,0.329
19940716000000,0.440
19940717000000,0.485
19940718000000,0.311
19940719000000,0.958
19940720000000,1.06
19940721000000,0.551
19940722000000,0.359
19940723000000,0.359
19940724000000,0.440
19940725000000,0.342
19940726000000,0.357
19940727000000,0.342
19940728000000,0.279
19940729000000,0.247
19940730000000,0.278
19940731000000,0.278
19940801000000,0.247
19940802000000,0.262
19940803000000,0.229
19940804000000,0.295
19940805000000,0.279
19940806000000,0.294
19940807000000,0.295
19940808000000,0.232
19940809000000,0.232
19940810000000,0.264
19940811000000,0.296
19940812000000,0.248
19940813000000,0.293
19940814000000,0.278
19940815000000,0.279
19940816000000,0.347
19940817000000,0.300
19940818000000,0.573
19940819000000,1.15
19940820000000,1.43
19940821000000,1.44
19940822000000,1.41
19940823000000,0.622
19940824000000,0.296
19940825000000,0.200
19940826000000,0.313
19940827000000,0.423
19940828000000,0.328
19940829000000,0.279
19940830000000,0.295
19940831000000,0.374
19940901000000,0.905
19940902000000,0.962
19940903000000,0.995
19940904000000,1.03
19940905000000,0.562
19940906000000,0.263
19940907000000,0.789
19940908000000,1.01
19940909000000,0.992
19940910000000,0.904
19940911000000,0.966
19940912000000,0.982
19940913000000,0.998
19940914000000,0.481
19940915000000,0.281
19940916000000,0.312
19940917000000,0.200
19940918000000,0.233
19940919000000,0.200
19940920000000,0.805
19940921000000,1.02
19940922000000,0.990
19940923000000,0.987
19940924000000,0.965
19940925000000,0.591
19940926000000,0.347
19940927000000,0.280
19940928000000,0.232
19940929000000,0.261
19940930000000,0.200
19941001000000,0.281
19941002000000,1.19
19941003000000,1.64
19941004000000,0.640
19941005000000,0.248
19941006000000,0.264
19941007000000,0.216
19941008000000,0.216
19941009000000,0.216
19941010000000,0.233
19941011000000,0.733
19941012000000,1.02
19941013000000,0.904
19941014000000,0.920
19941015000000,0.999
19941016000000,0.501
19941017000000,0.232
19941018000000,0.168
19941019000000,0.451
19941020000000,0.649
19941021000000,0.617
19941022000000,0.584
19941023000000,0.632
19941024000000,0.616
19941025000000,0.632
19941026000000,0.324
19941027000000,0.184
19941028000000,0.216
19941029000000,0.200
19941030000000,0.168
19941031000000,1.00
19941101000000,1.29
